a,a,a,a,a,a,a,a,a,a,a,a,a
a,County,Percent Need Treatment,STATE,STATEABBREVIATION,COUNTY,STATEFP,COUNTYFP,INDICATOR,YEAR,VALUE,DELIMITER,Percent Needing Opiod Addiction Treatment
a,"Autauga County, Alabama",0.957,Alabama,AL,Autauga County,1,1,pctunmetneed,2014,0.957,", ",95.7
a,"Baldwin County, Alabama",0.9134,Alabama,AL,Baldwin County,1,3,pctunmetneed,2014,0.9134,", ",91.34
a,"Barbour County, Alabama",0.9134,Alabama,AL,Barbour County,1,5,pctunmetneed,2014,0.9134,", ",91.34
a,"Bibb County, Alabama",0.9186,Alabama,AL,Bibb County,1,7,pctunmetneed,2014,0.9186,", ",91.86
a,"Blount County, Alabama",0.9186,Alabama,AL,Blount County,1,9,pctunmetneed,2014,0.9186,", ",91.86
a,"Bullock County, Alabama",0.957,Alabama,AL,Bullock County,1,11,pctunmetneed,2014,0.957,", ",95.7
a,"Butler County, Alabama",0.9134,Alabama,AL,Butler County,1,13,pctunmetneed,2014,0.9134,", ",91.34
a,"Calhoun County, Alabama",0.9186,Alabama,AL,Calhoun County,1,15,pctunmetneed,2014,0.9186,", ",91.86
a,"Chambers County, Alabama",0.957,Alabama,AL,Chambers County,1,17,pctunmetneed,2014,0.957,", ",95.7
a,"Cherokee County, Alabama",0.8971,Alabama,AL,Cherokee County,1,19,pctunmetneed,2014,0.8971,", ",89.71
a,"Chilton County, Alabama",0.9186,Alabama,AL,Chilton County,1,21,pctunmetneed,2014,0.9186,", ",91.86
a,"Choctaw County, Alabama",0.957,Alabama,AL,Choctaw County,1,23,pctunmetneed,2014,0.957,", ",95.7
a,"Clarke County, Alabama",0.9134,Alabama,AL,Clarke County,1,25,pctunmetneed,2014,0.9134,", ",91.34
a,"Clay County, Alabama",0.9186,Alabama,AL,Clay County,1,27,pctunmetneed,2014,0.9186,", ",91.86
a,"Cleburne County, Alabama",0.9186,Alabama,AL,Cleburne County,1,29,pctunmetneed,2014,0.9186,", ",91.86
a,"Coffee County, Alabama",0.9134,Alabama,AL,Coffee County,1,31,pctunmetneed,2014,0.9134,", ",91.34
a,"Colbert County, Alabama",0.8971,Alabama,AL,Colbert County,1,33,pctunmetneed,2014,0.8971,", ",89.71
a,"Conecuh County, Alabama",0.9134,Alabama,AL,Conecuh County,1,35,pctunmetneed,2014,0.9134,", ",91.34
a,"Coosa County, Alabama",0.9186,Alabama,AL,Coosa County,1,37,pctunmetneed,2014,0.9186,", ",91.86
a,"Covington County, Alabama",0.9134,Alabama,AL,Covington County,1,39,pctunmetneed,2014,0.9134,", ",91.34
a,"Crenshaw County, Alabama",0.9134,Alabama,AL,Crenshaw County,1,41,pctunmetneed,2014,0.9134,", ",91.34
a,"Cullman County, Alabama",0.8971,Alabama,AL,Cullman County,1,43,pctunmetneed,2014,0.8971,", ",89.71
a,"Dale County, Alabama",0.9134,Alabama,AL,Dale County,1,45,pctunmetneed,2014,0.9134,", ",91.34
a,"Dallas County, Alabama",0.957,Alabama,AL,Dallas County,1,47,pctunmetneed,2014,0.957,", ",95.7
a,"DeKalb County, Alabama",0.8971,Alabama,AL,DeKalb County,1,49,pctunmetneed,2014,0.8971,", ",89.71
a,"Elmore County, Alabama",0.957,Alabama,AL,Elmore County,1,51,pctunmetneed,2014,0.957,", ",95.7
a,"Escambia County, Alabama",0.9134,Alabama,AL,Escambia County,1,53,pctunmetneed,2014,0.9134,", ",91.34
a,"Etowah County, Alabama",0.8971,Alabama,AL,Etowah County,1,55,pctunmetneed,2014,0.8971,", ",89.71
a,"Fayette County, Alabama",0.8971,Alabama,AL,Fayette County,1,57,pctunmetneed,2014,0.8971,", ",89.71
a,"Franklin County, Alabama",0.8971,Alabama,AL,Franklin County,1,59,pctunmetneed,2014,0.8971,", ",89.71
a,"Geneva County, Alabama",0.9134,Alabama,AL,Geneva County,1,61,pctunmetneed,2014,0.9134,", ",91.34
a,"Greene County, Alabama",0.957,Alabama,AL,Greene County,1,63,pctunmetneed,2014,0.957,", ",95.7
a,"Hale County, Alabama",0.957,Alabama,AL,Hale County,1,65,pctunmetneed,2014,0.957,", ",95.7
a,"Henry County, Alabama",0.9134,Alabama,AL,Henry County,1,67,pctunmetneed,2014,0.9134,", ",91.34
a,"Houston County, Alabama",0.9134,Alabama,AL,Houston County,1,69,pctunmetneed,2014,0.9134,", ",91.34
a,"Jackson County, Alabama",0.8971,Alabama,AL,Jackson County,1,71,pctunmetneed,2014,0.8971,", ",89.71
a,"Jefferson County, Alabama",0.9186,Alabama,AL,Jefferson County,1,73,pctunmetneed,2014,0.9186,", ",91.86
a,"Lamar County, Alabama",0.8971,Alabama,AL,Lamar County,1,75,pctunmetneed,2014,0.8971,", ",89.71
a,"Lauderdale County, Alabama",0.8971,Alabama,AL,Lauderdale County,1,77,pctunmetneed,2014,0.8971,", ",89.71
a,"Lawrence County, Alabama",0.8971,Alabama,AL,Lawrence County,1,79,pctunmetneed,2014,0.8971,", ",89.71
a,"Lee County, Alabama",0.957,Alabama,AL,Lee County,1,81,pctunmetneed,2014,0.957,", ",95.7
a,"Limestone County, Alabama",0.8971,Alabama,AL,Limestone County,1,83,pctunmetneed,2014,0.8971,", ",89.71
a,"Lowndes County, Alabama",0.957,Alabama,AL,Lowndes County,1,85,pctunmetneed,2014,0.957,", ",95.7
a,"Macon County, Alabama",0.957,Alabama,AL,Macon County,1,87,pctunmetneed,2014,0.957,", ",95.7
a,"Madison County, Alabama",0.8971,Alabama,AL,Madison County,1,89,pctunmetneed,2014,0.8971,", ",89.71
a,"Marengo County, Alabama",0.957,Alabama,AL,Marengo County,1,91,pctunmetneed,2014,0.957,", ",95.7
a,"Marion County, Alabama",0.8971,Alabama,AL,Marion County,1,93,pctunmetneed,2014,0.8971,", ",89.71
a,"Marshall County, Alabama",0.8971,Alabama,AL,Marshall County,1,95,pctunmetneed,2014,0.8971,", ",89.71
a,"Mobile County, Alabama",0.9134,Alabama,AL,Mobile County,1,97,pctunmetneed,2014,0.9134,", ",91.34
a,"Monroe County, Alabama",0.9134,Alabama,AL,Monroe County,1,99,pctunmetneed,2014,0.9134,", ",91.34
a,"Montgomery County, Alabama",0.957,Alabama,AL,Montgomery County,1,101,pctunmetneed,2014,0.957,", ",95.7
a,"Morgan County, Alabama",0.8971,Alabama,AL,Morgan County,1,103,pctunmetneed,2014,0.8971,", ",89.71
a,"Perry County, Alabama",0.957,Alabama,AL,Perry County,1,105,pctunmetneed,2014,0.957,", ",95.7
a,"Pickens County, Alabama",0.9186,Alabama,AL,Pickens County,1,107,pctunmetneed,2014,0.9186,", ",91.86
a,"Pike County, Alabama",0.957,Alabama,AL,Pike County,1,109,pctunmetneed,2014,0.957,", ",95.7
a,"Randolph County, Alabama",0.9186,Alabama,AL,Randolph County,1,111,pctunmetneed,2014,0.9186,", ",91.86
a,"Russell County, Alabama",0.957,Alabama,AL,Russell County,1,113,pctunmetneed,2014,0.957,", ",95.7
a,"St. Clair County, Alabama",0.9186,Alabama,AL,St. Clair County,1,115,pctunmetneed,2014,0.9186,", ",91.86
a,"Shelby County, Alabama",0.9186,Alabama,AL,Shelby County,1,117,pctunmetneed,2014,0.9186,", ",91.86
a,"Sumter County, Alabama",0.957,Alabama,AL,Sumter County,1,119,pctunmetneed,2014,0.957,", ",95.7
a,"Talladega County, Alabama",0.9186,Alabama,AL,Talladega County,1,121,pctunmetneed,2014,0.9186,", ",91.86
a,"Tallapoosa County, Alabama",0.957,Alabama,AL,Tallapoosa County,1,123,pctunmetneed,2014,0.957,", ",95.7
a,"Tuscaloosa County, Alabama",0.9186,Alabama,AL,Tuscaloosa County,1,125,pctunmetneed,2014,0.9186,", ",91.86
a,"Walker County, Alabama",0.8971,Alabama,AL,Walker County,1,127,pctunmetneed,2014,0.8971,", ",89.71
a,"Washington County, Alabama",0.9134,Alabama,AL,Washington County,1,129,pctunmetneed,2014,0.9134,", ",91.34
a,"Wilcox County, Alabama",0.957,Alabama,AL,Wilcox County,1,131,pctunmetneed,2014,0.957,", ",95.7
a,"Winston County, Alabama",0.8971,Alabama,AL,Winston County,1,133,pctunmetneed,2014,0.8971,", ",89.71
a,"Aleutians East Borough, Alaska",0.8912,Alaska,AK,Aleutians East Borough,2,13,pctunmetneed,2014,0.8912,", ",89.12
a,"Aleutians West Census Area, Alaska",0.8912,Alaska,AK,Aleutians West Census Area,2,16,pctunmetneed,2014,0.8912,", ",89.12
a,"Anchorage Municipality, Alaska",0.8673,Alaska,AK,Anchorage Municipality,2,20,pctunmetneed,2014,0.8673,", ",86.73
a,"Bethel Census Area, Alaska",0.8758,Alaska,AK,Bethel Census Area,2,50,pctunmetneed,2014,0.8758,", ",87.58
a,"Bristol Bay Borough, Alaska",0.8912,Alaska,AK,Bristol Bay Borough,2,60,pctunmetneed,2014,0.8912,", ",89.12
a,"Denali Borough, Alaska",0.8758,Alaska,AK,Denali Borough,2,68,pctunmetneed,2014,0.8758,", ",87.58
a,"Dillingham Census Area, Alaska",0.8912,Alaska,AK,Dillingham Census Area,2,70,pctunmetneed,2014,0.8912,", ",89.12
a,"Fairbanks North Star Borough, Alaska",0.8758,Alaska,AK,Fairbanks North Star Borough,2,90,pctunmetneed,2014,0.8758,", ",87.58
a,"Haines Borough, Alaska",0.9482,Alaska,AK,Haines Borough,2,100,pctunmetneed,2014,0.9482,", ",94.82
a,"Hoonah-Angoon Census Area, Alaska",0.9482,Alaska,AK,Hoonah-Angoon Census Area,2,105,pctunmetneed,2014,0.9482,", ",94.82
a,"Juneau City and Borough, Alaska",0.9482,Alaska,AK,Juneau City and Borough,2,110,pctunmetneed,2014,0.9482,", ",94.82
a,"Kenai Peninsula Borough, Alaska",0.8912,Alaska,AK,Kenai Peninsula Borough,2,122,pctunmetneed,2014,0.8912,", ",89.12
a,"Ketchikan Gateway Borough, Alaska",0.9482,Alaska,AK,Ketchikan Gateway Borough,2,130,pctunmetneed,2014,0.9482,", ",94.82
a,"Kodiak Island Borough, Alaska",0.8912,Alaska,AK,Kodiak Island Borough,2,150,pctunmetneed,2014,0.8912,", ",89.12
a,"Kusilvak Census Area, Alaska",0.8758,Alaska,AK,Kusilvak Census Area,2,158,pctunmetneed,2014,0.8758,", ",87.58
a,"Lake and Peninsula Borough, Alaska",0.8912,Alaska,AK,Lake and Peninsula Borough,2,164,pctunmetneed,2014,0.8912,", ",89.12
a,"Matanuska-Susitna Borough, Alaska",0.8912,Alaska,AK,Matanuska-Susitna Borough,2,170,pctunmetneed,2014,0.8912,", ",89.12
a,"Nome Census Area, Alaska",0.8758,Alaska,AK,Nome Census Area,2,180,pctunmetneed,2014,0.8758,", ",87.58
a,"North Slope Borough, Alaska",0.8758,Alaska,AK,North Slope Borough,2,185,pctunmetneed,2014,0.8758,", ",87.58
a,"Northwest Arctic Borough, Alaska",0.8758,Alaska,AK,Northwest Arctic Borough,2,188,pctunmetneed,2014,0.8758,", ",87.58
a,"Petersburg Borough, Alaska",0.9482,Alaska,AK,Petersburg Borough,2,195,pctunmetneed,2014,0.9482,", ",94.82
a,"Prince of Wales-Hyder Census Area, Alaska",0.9482,Alaska,AK,Prince of Wales-Hyder Census Area,2,198,pctunmetneed,2014,0.9482,", ",94.82
a,"Sitka City and Borough, Alaska",0.9482,Alaska,AK,Sitka City and Borough,2,220,pctunmetneed,2014,0.9482,", ",94.82
a,"Skagway Municipality, Alaska",0.9482,Alaska,AK,Skagway Municipality,2,230,pctunmetneed,2014,0.9482,", ",94.82
a,"Southeast Fairbanks Census Area, Alaska",0.8758,Alaska,AK,Southeast Fairbanks Census Area,2,240,pctunmetneed,2014,0.8758,", ",87.58
a,"Valdez-Cordova Census Area, Alaska",0.8912,Alaska,AK,Valdez-Cordova Census Area,2,261,pctunmetneed,2014,0.8912,", ",89.12
a,"Wrangell City and Borough, Alaska",0.9482,Alaska,AK,Wrangell City and Borough,2,275,pctunmetneed,2014,0.9482,", ",94.82
a,"Yakutat City and Borough, Alaska",0.9482,Alaska,AK,Yakutat City and Borough,2,282,pctunmetneed,2014,0.9482,", ",94.82
a,"Yukon-Koyukuk Census Area, Alaska",0.8758,Alaska,AK,Yukon-Koyukuk Census Area,2,290,pctunmetneed,2014,0.8758,", ",87.58
a,"Apache County, Arizona",0.8835,Arizona,AZ,Apache County,4,1,pctunmetneed,2014,0.8835,", ",88.35
a,"Cochise County, Arizona",0.8936,Arizona,AZ,Cochise County,4,3,pctunmetneed,2014,0.8936,", ",89.36
a,"Coconino County, Arizona",0.8835,Arizona,AZ,Coconino County,4,5,pctunmetneed,2014,0.8835,", ",88.35
a,"Gila County, Arizona",0.8936,Arizona,AZ,Gila County,4,7,pctunmetneed,2014,0.8936,", ",89.36
a,"Graham County, Arizona",0.8936,Arizona,AZ,Graham County,4,9,pctunmetneed,2014,0.8936,", ",89.36
a,"Greenlee County, Arizona",0.8936,Arizona,AZ,Greenlee County,4,11,pctunmetneed,2014,0.8936,", ",89.36
