October 2022 Contiguous U.S. County Average Temperature,a,a,a,a,a,a,a,a
Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,Location,Location ID,Delimiter
AL-001,"Autauga County, AL",62,19,-2.6,64.6,Autauga County,AL,", "
AL-003,"Baldwin County, AL",66.4,31,-1.6,68,Baldwin County,AL,", "
AL-005,"Barbour County, AL",63.3,21,-2.3,65.6,Barbour County,AL,", "
AL-007,"Bibb County, AL",61,21,-2.6,63.6,Bibb County,AL,", "
AL-009,"Blount County, AL",59,22,-2.5,61.5,Blount County,AL,", "
AL-011,"Bullock County, AL",62.3,17,-2.7,65,Bullock County,AL,", "
AL-013,"Butler County, AL",61.8,14,-3.5,65.3,Butler County,AL,", "
AL-015,"Calhoun County, AL",59.3,24,-2.3,61.6,Calhoun County,AL,", "
AL-017,"Chambers County, AL",59.4,14,-3,62.4,Chambers County,AL,", "
AL-019,"Cherokee County, AL",58.7,19,-2.7,61.4,Cherokee County,AL,", "
AL-021,"Chilton County, AL",61.3,25,-2.1,63.4,Chilton County,AL,", "
AL-023,"Choctaw County, AL",62.8,23,-2.1,64.9,Choctaw County,AL,", "
AL-025,"Clarke County, AL",63.2,21,-2.3,65.5,Clarke County,AL,", "
AL-027,"Clay County, AL",58.8,23,-2.6,61.4,Clay County,AL,", "
AL-029,"Cleburne County, AL",58.2,23,-2.4,60.6,Cleburne County,AL,", "
AL-031,"Coffee County, AL",63.1,13,-3.2,66.3,Coffee County,AL,", "
AL-033,"Colbert County, AL",58.8,31,-1.9,60.7,Colbert County,AL,", "
AL-035,"Conecuh County, AL",62.6,16,-3.5,66.1,Conecuh County,AL,", "
AL-037,"Coosa County, AL",60.5,22,-2.6,63.1,Coosa County,AL,", "
AL-039,"Covington County, AL",63.3,15,-3.1,66.4,Covington County,AL,", "
AL-041,"Crenshaw County, AL",61.9,15,-3.4,65.3,Crenshaw County,AL,", "
AL-043,"Cullman County, AL",58.5,20,-2.7,61.2,Cullman County,AL,", "
AL-045,"Dale County, AL",63.7,16,-2.8,66.5,Dale County,AL,", "
AL-047,"Dallas County, AL",62.4,18,-2.6,65,Dallas County,AL,", "
AL-049,"DeKalb County, AL",57.4,16,-2.9,60.3,DeKalb County,AL,", "
AL-051,"Elmore County, AL",61.7,19,-2.9,64.6,Elmore County,AL,", "
AL-053,"Escambia County, AL",63.8,19,-2.9,66.7,Escambia County,AL,", "
AL-055,"Etowah County, AL",59.3,23,-2.4,61.7,Etowah County,AL,", "
AL-057,"Fayette County, AL",60.2,19,-2.5,62.7,Fayette County,AL,", "
AL-059,"Franklin County, AL",58.8,30,-2,60.8,Franklin County,AL,", "
AL-061,"Geneva County, AL",63.8,15,-3.1,66.9,Geneva County,AL,", "
AL-063,"Greene County, AL",61.4,17,-3.3,64.7,Greene County,AL,", "
AL-065,"Hale County, AL",61.7,19,-2.9,64.6,Hale County,AL,", "
AL-067,"Henry County, AL",64.1,22,-2.4,66.5,Henry County,AL,", "
AL-069,"Houston County, AL",64.6,17,-2.8,67.4,Houston County,AL,", "
AL-071,"Jackson County, AL",57.4,12,-3.1,60.5,Jackson County,AL,", "
AL-073,"Jefferson County, AL",59.8,20,-2.7,62.5,Jefferson County,AL,", "
AL-075,"Lamar County, AL",60.8,32,-2,62.8,Lamar County,AL,", "
AL-077,"Lauderdale County, AL",57.8,21,-2.5,60.3,Lauderdale County,AL,", "
AL-079,"Lawrence County, AL",58.1,17,-2.8,60.9,Lawrence County,AL,", "
AL-081,"Lee County, AL",60.7,12,-3.4,64.1,Lee County,AL,", "
AL-083,"Limestone County, AL",57.8,14,-3,60.8,Limestone County,AL,", "
AL-085,"Lowndes County, AL",62.2,16,-3.1,65.3,Lowndes County,AL,", "
AL-087,"Macon County, AL",61.8,16,-3.2,65,Macon County,AL,", "
