county,state,sexRatio,sexRatioBucket,year
Autauga,AL,95.6,133,2017
Baldwin,AL,95.9,147,2017
Barbour,AL,114.3,478,2017
Bibb,AL,118.6,488,2017
Blount,AL,97.6,224,2017
Bullock,AL,115.5,482,2017
Butler,AL,87.9,10,2017
Calhoun,AL,92.8,51,2017
Chambers,AL,92.9,54,2017
Cherokee,AL,99.0,286,2017
Chilton,AL,96.9,187,2017
Choctaw,AL,90.8,28,2017
Clarke,AL,89.8,20,2017
Clay,AL,93.3,63,2017
Cleburne,AL,97.3,205,2017
Coffee,AL,97.6,224,2017
Colbert,AL,92.4,46,2017
Conecuh,AL,91.4,33,2017
Coosa,AL,99.9,318,2017
Covington,AL,93.5,67,2017
Crenshaw,AL,95.8,142,2017
Cullman,AL,97.0,192,2017
Dale,AL,98.6,270,2017
Dallas,AL,85.7,5,2017
DeKalb,AL,98.5,265,2017
Elmore,AL,94.5,94,2017
Escambia,AL,105.6,433,2017
Etowah,AL,93.2,60,2017
Fayette,AL,96.8,182,2017
Franklin,AL,100.8,349,2017
Geneva,AL,95.9,147,2017
Greene,AL,90.7,26,2017
Hale,AL,88.7,14,2017
Henry,AL,92.2,42,2017
Houston,AL,92.1,42,2017
Jackson,AL,96.6,173,2017
Jefferson,AL,90.0,22,2017
Lamar,AL,96.2,157,2017
Lauderdale,AL,91.6,34,2017
Lawrence,AL,94.4,91,2017
Lee,AL,97.2,201,2017
Limestone,AL,100.2,328,2017
Lowndes,AL,89.6,19,2017
Macon,AL,85.7,5,2017
Madison,AL,95.5,129,2017
Marengo,AL,87.9,10,2017
Marion,AL,98.0,243,2017
Marshall,AL,97.5,218,2017
Mobile,AL,91.5,33,2017
Monroe,AL,90.9,28,2017
Montgomery,AL,89.8,20,2017
Morgan,AL,97.3,205,2017
Perry,AL,91.7,35,2017
Pickens,AL,90.8,28,2017
Pike,AL,91.4,33,2017
Randolph,AL,95.4,125,2017
Russell,AL,94.6,97,2017
St. Clair,AL,100.0,322,2017
Shelby,AL,94.5,94,2017
Sumter,AL,85.6,5,2017
Talladega,AL,93.8,74,2017
Tallapoosa,AL,92.8,51,2017
Tuscaloosa,AL,93.4,65,2017
Walker,AL,95.5,129,2017
Washington,AL,99.3,296,2017
Wilcox,AL,87.5,9,2017
Winston,AL,97.8,234,2017
Aleutians East,AK,159.0,507,2017
Aleutians West,AK,157.6,507,2017
Anchorage,AK,104.4,420,2017
Bethel,AK,110.7,466,2017
Bristol Bay,AK,138.2,502,2017
Denali,AK,102.9,400,2017
Dillingham,AK,108.2,453,2017
Fairbanks North Star,AK,117.2,486,2017
Haines,AK,109.0,458,2017
Hoonah-Angoon,AK,109.8,463,2017
Juneau City,AK,105.7,435,2017
Kenai Peninsula,AK,109.2,459,2017
Ketchikan Gateway,AK,105.8,436,2017
