county,state,medianHouseholdIncome,medianHouseholdIncomeBucket,year
Autauga,AL,58786,399,2018
Baldwin,AL,55962,365,2018
Barbour,AL,34186,40,2018
Bibb,AL,45340,182,2018
Blount,AL,48695,239,2018
Bullock,AL,32152,30,2018
Butler,AL,39109,86,2018
Calhoun,AL,45197,180,2018
Chambers,AL,39872,96,2018
Cherokee,AL,41014,115,2018
Chilton,AL,45182,179,2018
Choctaw,AL,34884,45,2018
Clarke,AL,36127,54,2018
Clay,AL,41225,118,2018
Cleburne,AL,40188,102,2018
Coffee,AL,53155,323,2018
Colbert,AL,47558,220,2018
Conecuh,AL,33177,35,2018
Coosa,AL,38301,78,2018
Covington,AL,40601,107,2018
Crenshaw,AL,39812,95,2018
Cullman,AL,42558,138,2018
Dale,AL,45960,194,2018
Dallas,AL,31602,27,2018
DeKalb,AL,39233,88,2018
Elmore,AL,59347,406,2018
Escambia,AL,35000,46,2018
Etowah,AL,44023,162,2018
Fayette,AL,37458,69,2018
Franklin,AL,40459,106,2018
Geneva,AL,38142,77,2018
Greene,AL,21804,10,2018
Hale,AL,30571,23,2018
Henry,AL,48610,237,2018
Houston,AL,45496,186,2018
Jackson,AL,39816,95,2018
Jefferson,AL,51979,301,2018
Lamar,AL,36756,61,2018
Lauderdale,AL,46265,201,2018
Lawrence,AL,44515,171,2018
Lee,AL,48056,227,2018
Limestone,AL,56460,373,2018
Lowndes,AL,30833,23,2018
Macon,AL,32074,29,2018
Madison,AL,63417,439,2018
Marengo,AL,32809,32,2018
Marion,AL,35392,48,2018
Marshall,AL,42490,137,2018
Mobile,AL,46166,198,2018
Monroe,AL,30141,22,2018
Montgomery,AL,47990,225,2018
Morgan,AL,49751,259,2018
Perry,AL,23561,11,2018
Pickens,AL,37458,69,2018
Pike,AL,34678,44,2018
Randolph,AL,41449,121,2018
Russell,AL,40978,114,2018
St. Clair,AL,54887,348,2018
Shelby,AL,75761,482,2018
Sumter,AL,23132,11,2018
Talladega,AL,41012,115,2018
Tallapoosa,AL,43361,152,2018
Tuscaloosa,AL,52221,305,2018
Walker,AL,41748,125,2018
Washington,AL,40794,110,2018
Wilcox,AL,27237,16,2018
Winston,AL,38504,81,2018
Aleutians East,AK,69706,468,2018
Aleutians West,AK,85517,499,2018
Anchorage,AK,83280,495,2018
Bethel,AK,54212,338,2018
Bristol Bay,AK,84688,497,2018
Denali,AK,84196,497,2018
Dillingham,AK,58750,398,2018
Fairbanks North Star,AK,77095,485,2018
Haines,AK,64342,445,2018
Hoonah-Angoon,AK,63603,440,2018
Juneau City,AK,88213,501,2018
Kenai Peninsula,AK,66684,457,2018
Ketchikan Gateway,AK,70356,469,2018
Kodiak,AK,78281,487,2018
Kusilvak,AK,35539,50,2018
Lake and Peninsula,AK,46406,204,2018
Matanuska-Susitna,AK,75905,483,2018
Nome,AK,58987,401,2018
North Slope,AK,75431,482,2018
Northwest Arctic,AK,62949,435,2018
Petersburg,AK,66907,458,2018
Prince of Wales-Hyder,AK,54191,338,2018
Sitka City,AK,71534,474,2018
Skagway,AK,72237,476,2018
Southeast Fairbanks,AK,71541,474,2018
Valdez-Cordova,AK,82306,494,2018
Wrangell City,AK,57583,386,2018
Yakutat City,AK,65833,454,2018
Yukon-Koyukuk,AK,40000,99,2018
Apache,AZ,32963,33,2018
Cochise,AZ,48649,238,2018
Coconino,AZ,57616,387,2018
Gila,AZ,42092,130,2018
Graham,AZ,51352,289,2018
Greenlee,AZ,60962,419,2018
La Paz,AZ,33333,35,2018
Maricopa,AZ,61606,424,2018
Mohave,AZ,43266,150,2018
Navajo,AZ,40054,99,2018
Pima,AZ,51037,282,2018
Pinal,AZ,55550,360,2018
Santa Cruz,AZ,40467,106,2018
Yavapai,AZ,50180,267,2018
Yuma,AZ,44058,163,2018
Arkansas,AR,39466,91,2018
Ashley,AR,39635,93,2018
Baxter,AR,41481,121,2018
Benton,AR,64141,443,2018
Boone,AR,43262,150,2018
Bradley,AR,39510,92,2018
Calhoun,AR,44022,162,2018
Carroll,AR,43505,154,2018
Chicot,AR,33051,34,2018
Clark,AR,39752,94,2018
Clay,AR,33935,39,2018
Cleburne,AR,43391,153,2018
Cleveland,AR,42460,136,2018
Columbia,AR,36148,55,2018
Conway,AR,41196,117,2018
Craighead,AR,45868,193,2018
Crawford,AR,46619,206,2018
Crittenden,AR,39002,85,2018
Cross,AR,43838,158,2018
Dallas,AR,36628,60,2018
Desha,AR,30234,22,2018
Drew,AR,43014,146,2018
Faulkner,AR,51930,300,2018
Franklin,AR,39463,91,2018
Fulton,AR,36184,55,2018
Garland,AR,43146,148,2018
Grant,AR,51920,300,2018
Greene,AR,47497,218,2018
Hempstead,AR,41355,119,2018
Hot Spring,AR,41262,118,2018
Howard,AR,35900,52,2018
Independence,AR,43523,154,2018
Izard,AR,40218,102,2018
Jackson,AR,33174,34,2018
Jefferson,AR,38289,78,2018
Johnson,AR,37170,65,2018
Lafayette,AR,32412,31,2018
Lawrence,AR,38528,81,2018
Lee,AR,28367,18,2018
