county,state,percentHealthInsurance,percentHealthInsuranceBucket,year
Autauga,AL,92.9,340,2018
Baldwin,AL,89.8,214,2018
Barbour,AL,88.8,177,2018
Bibb,AL,92.1,304,2018
Blount,AL,89.0,184,2018
Bullock,AL,89.2,192,2018
Butler,AL,89.8,214,2018
Calhoun,AL,90.6,242,2018
Chambers,AL,89.2,192,2018
Cherokee,AL,91.7,286,2018
Chilton,AL,85.8,91,2018
Choctaw,AL,88.6,169,2018
Clarke,AL,89.2,192,2018
Clay,AL,89.8,214,2018
Cleburne,AL,87.2,123,2018
Coffee,AL,89.9,217,2018
Colbert,AL,91.9,296,2018
Conecuh,AL,85.5,86,2018
Coosa,AL,92.2,308,2018
Covington,AL,88.8,177,2018
Crenshaw,AL,90.0,220,2018
Cullman,AL,88.2,153,2018
Dale,AL,88.6,169,2018
Dallas,AL,88.0,147,2018
DeKalb,AL,85.5,86,2018
Elmore,AL,91.8,291,2018
Escambia,AL,84.5,68,2018
Etowah,AL,89.6,206,2018
Fayette,AL,91.2,268,2018
Franklin,AL,87.2,123,2018
Geneva,AL,86.3,100,2018
Greene,AL,88.6,169,2018
Hale,AL,91.2,268,2018
Henry,AL,88.6,169,2018
Houston,AL,89.6,206,2018
Jackson,AL,90.4,233,2018
Jefferson,AL,90.5,237,2018
Lamar,AL,90.6,242,2018
Lauderdale,AL,90.9,255,2018
Lawrence,AL,91.8,291,2018
Lee,AL,92.1,304,2018
Limestone,AL,90.4,233,2018
Lowndes,AL,90.8,251,2018
Macon,AL,91.9,296,2018
Madison,AL,91.1,264,2018
Marengo,AL,90.4,233,2018
Marion,AL,89.5,202,2018
Marshall,AL,86.9,116,2018
Mobile,AL,88.4,159,2018
Monroe,AL,86.6,109,2018
Montgomery,AL,89.5,202,2018
Morgan,AL,89.8,214,2018
Perry,AL,87.3,125,2018
Pickens,AL,91.5,280,2018
Pike,AL,90.4,233,2018
Randolph,AL,89.5,202,2018
Russell,AL,86.6,109,2018
