county,state,percentNeedOpioidTreatment,percentNeedOpioidTreatmentBucket,year
Autauga,AL,95.7,506,2018
Baldwin,AL,91.34,405,2018
Barbour,AL,91.34,405,2018
Bibb,AL,91.86,427,2018
Blount,AL,91.86,427,2018
Bullock,AL,95.7,506,2018
Butler,AL,91.34,405,2018
Calhoun,AL,91.86,427,2018
Chambers,AL,95.7,506,2018
Cherokee,AL,89.71,335,2018
Chilton,AL,91.86,427,2018
Choctaw,AL,95.7,506,2018
Clarke,AL,91.34,405,2018
Clay,AL,91.86,427,2018
Cleburne,AL,91.86,427,2018
Coffee,AL,91.34,405,2018
Colbert,AL,89.71,335,2018
Conecuh,AL,91.34,405,2018
Coosa,AL,91.86,427,2018
Covington,AL,91.34,405,2018
Crenshaw,AL,91.34,405,2018
Cullman,AL,89.71,335,2018
Dale,AL,91.34,405,2018
Dallas,AL,95.7,506,2018
DeKalb,AL,89.71,335,2018
Elmore,AL,95.7,506,2018
Escambia,AL,91.34,405,2018
Etowah,AL,89.71,335,2018
Fayette,AL,89.71,335,2018
Franklin,AL,89.71,335,2018
Geneva,AL,91.34,405,2018
Greene,AL,95.7,506,2018
Hale,AL,95.7,506,2018
Henry,AL,91.34,405,2018
Houston,AL,91.34,405,2018
Jackson,AL,89.71,335,2018
Jefferson,AL,91.86,427,2018
Lamar,AL,89.71,335,2018
Lauderdale,AL,89.71,335,2018
Lawrence,AL,89.71,335,2018
Lee,AL,95.7,506,2018
Limestone,AL,89.71,335,2018
Lowndes,AL,95.7,506,2018
Macon,AL,95.7,506,2018
Madison,AL,89.71,335,2018
Marengo,AL,95.7,506,2018
Marion,AL,89.71,335,2018
Marshall,AL,89.71,335,2018
Mobile,AL,91.34,405,2018
Monroe,AL,91.34,405,2018
Montgomery,AL,95.7,506,2018
Morgan,AL,89.71,335,2018
Perry,AL,95.7,506,2018
Pickens,AL,91.86,427,2018
Pike,AL,95.7,506,2018
Randolph,AL,91.86,427,2018
Russell,AL,95.7,506,2018
St. Clair,AL,91.86,427,2018
Shelby,AL,91.86,427,2018
Sumter,AL,95.7,506,2018
Talladega,AL,91.86,427,2018
Tallapoosa,AL,95.7,506,2018
Tuscaloosa,AL,91.86,427,2018
Walker,AL,89.71,335,2018
Washington,AL,91.34,405,2018
Wilcox,AL,95.7,506,2018
Winston,AL,89.71,335,2018
Aleutians East,AK,89.12,293,2018
Aleutians West,AK,89.12,293,2018
Anchorage,AK,86.73,156,2018
Bethel,AK,87.58,188,2018
Bristol Bay,AK,89.12,293,2018
Denali,AK,87.58,188,2018
Dillingham,AK,89.12,293,2018
Fairbanks North Star,AK,87.58,188,2018
Haines,AK,94.82,497,2018
Hoonah-Angoon,AK,94.82,497,2018
Juneau City,AK,94.82,497,2018
Kenai Peninsula,AK,89.12,293,2018
Ketchikan Gateway,AK,94.82,497,2018
Kodiak,AK,89.12,293,2018
Kusilvak,AK,87.58,188,2018
Lake and Peninsula,AK,89.12,293,2018
Matanuska-Susitna,AK,89.12,293,2018
Nome,AK,87.58,188,2018
North Slope,AK,87.58,188,2018
Northwest Arctic,AK,87.58,188,2018
Petersburg,AK,94.82,497,2018
Prince of Wales-Hyder,AK,94.82,497,2018
Sitka City,AK,94.82,497,2018
Skagway,AK,94.82,497,2018
Southeast Fairbanks,AK,87.58,188,2018
Valdez-Cordova,AK,89.12,293,2018
Wrangell City,AK,94.82,497,2018
Yakutat City,AK,94.82,497,2018
Yukon-Koyukuk,AK,87.58,188,2018
Apache,AZ,88.35,240,2018
Cochise,AZ,89.36,319,2018
Coconino,AZ,88.35,240,2018
Gila,AZ,89.36,319,2018
Graham,AZ,89.36,319,2018
Greenlee,AZ,89.36,319,2018
La Paz,AZ,89.36,319,2018
Maricopa,AZ,90.68,377,2018
Mohave,AZ,88.35,240,2018
Navajo,AZ,88.35,240,2018
Pima,AZ,87.15,166,2018
Pinal,AZ,89.36,319,2018
Santa Cruz,AZ,89.36,319,2018
Yavapai,AZ,88.35,240,2018
Yuma,AZ,89.36,319,2018
Arkansas,AR,82.97,37,2018
Ashley,AR,82.97,37,2018
Baxter,AR,88.48,245,2018
Benton,AR,84.62,64,2018
Boone,AR,88.48,245,2018
Bradley,AR,82.97,37,2018
Calhoun,AR,89.82,340,2018
Carroll,AR,84.62,64,2018
Chicot,AR,82.97,37,2018
Clark,AR,86.48,137,2018
Clay,AR,92.99,461,2018
Cleburne,AR,88.48,245,2018
Cleveland,AR,82.97,37,2018
Columbia,AR,89.82,340,2018
Conway,AR,86.48,137,2018
Craighead,AR,92.99,461,2018
Crawford,AR,86.86,162,2018
Crittenden,AR,92.99,461,2018
Cross,AR,92.99,461,2018
Dallas,AR,89.82,340,2018
Desha,AR,82.97,37,2018
Drew,AR,82.97,37,2018
Faulkner,AR,86.48,137,2018
Franklin,AR,86.86,162,2018
Fulton,AR,88.48,245,2018
Garland,AR,86.48,137,2018
Grant,AR,82.97,37,2018
Greene,AR,92.99,461,2018
Hempstead,AR,89.82,340,2018
Hot Spring,AR,86.48,137,2018
Howard,AR,89.82,340,2018
Independence,AR,88.48,245,2018
Izard,AR,88.48,245,2018
Jackson,AR,88.48,245,2018
Jefferson,AR,82.97,37,2018
Johnson,AR,86.48,137,2018
Lafayette,AR,89.82,340,2018
Lawrence,AR,92.99,461,2018
Lee,AR,92.99,461,2018
Lincoln,AR,82.97,37,2018
Little River,AR,89.82,340,2018
Logan,AR,86.86,162,2018
Lonoke,AR,88.53,246,2018
Madison,AR,84.62,64,2018
Marion,AR,88.48,245,2018
Miller,AR,89.82,340,2018
Mississippi,AR,92.99,461,2018
Monroe,AR,92.99,461,2018
Montgomery,AR,86.48,137,2018
Nevada,AR,89.82,340,2018
Newton,AR,88.48,245,2018
Ouachita,AR,89.82,340,2018
Perry,AR,86.48,137,2018
Phillips,AR,92.99,461,2018
Pike,AR,86.48,137,2018
Poinsett,AR,92.99,461,2018
Polk,AR,86.86,162,2018
Pope,AR,86.48,137,2018
Prairie,AR,88.53,246,2018
Pulaski,AR,88.53,246,2018
Randolph,AR,92.99,461,2018
St. Francis,AR,92.99,461,2018
Saline,AR,88.53,246,2018
Scott,AR,86.86,162,2018
Searcy,AR,88.48,245,2018
Sebastian,AR,86.86,162,2018
Sevier,AR,89.82,340,2018
Sharp,AR,88.48,245,2018
Stone,AR,88.48,245,2018
Union,AR,89.82,340,2018
Van Buren,AR,88.48,245,2018
Washington,AR,84.62,64,2018
White,AR,88.48,245,2018
Woodruff,AR,88.48,245,2018
Yell,AR,86.48,137,2018
Alameda,CA,91.32,402,2018
Alpine,CA,87.54,186,2018
Amador,CA,87.54,186,2018
Butte,CA,87.25,179,2018
Calaveras,CA,87.54,186,2018
Colusa,CA,87.25,179,2018
Contra Costa,CA,89.13,293,2018
Del Norte,CA,87.25,179,2018
El Dorado,CA,87.67,192,2018
Fresno,CA,87.38,179,2018
Glenn,CA,87.25,179,2018
Humboldt,CA,87.25,179,2018
Imperial,CA,91.29,398,2018
Inyo,CA,87.97,213,2018
Kern,CA,87.97,213,2018
Kings,CA,87.97,213,2018
Lake,CA,87.25,179,2018
Lassen,CA,87.25,179,2018
Los Angeles,CA,92.09,427,2018
Madera,CA,90.22,354,2018
Marin,CA,82.74,28,2018
Mariposa,CA,90.22,354,2018
Mendocino,CA,87.25,179,2018
Merced,CA,90.22,354,2018
Modoc,CA,87.25,179,2018
Mono,CA,87.54,186,2018
Monterey,CA,89.79,335,2018
Napa,CA,82.74,28,2018
Nevada,CA,87.67,192,2018
Orange,CA,90,349,2018
Placer,CA,87.67,192,2018
Plumas,CA,87.25,179,2018
Riverside,CA,91.29,398,2018
Sacramento,CA,85.76,92,2018
San Benito,CA,89.79,335,2018
San Bernardino,CA,87.91,212,2018
San Diego,CA,90.33,358,2018
San Francisco,CA,100,511,2018
San Joaquin,CA,87.54,186,2018
San Luis Obispo,CA,89.79,335,2018
San Mateo,CA,93.16,469,2018
Santa Barbara,CA,87.66,191,2018
Santa Clara,CA,89.83,343,2018
Santa Cruz,CA,89.79,335,2018
Shasta,CA,87.25,179,2018
Sierra,CA,87.25,179,2018
Siskiyou,CA,87.25,179,2018
Solano,CA,82.74,28,2018
Sonoma,CA,82.74,28,2018
Stanislaus,CA,90.22,354,2018
Sutter,CA,87.67,192,2018
Tehama,CA,87.25,179,2018
Trinity,CA,87.25,179,2018
Tulare,CA,87.97,213,2018
Tuolumne,CA,87.54,186,2018
Ventura,CA,87.66,191,2018
Yolo,CA,87.67,192,2018
Yuba,CA,87.67,192,2018
Adams,CO,86.73,156,2018
Alamosa,CO,88.33,239,2018
Arapahoe,CO,86.73,156,2018
Archuleta,CO,89.84,348,2018
Baca,CO,88.33,239,2018
Bent,CO,88.33,239,2018
Boulder,CO,86.73,156,2018
Broomfield,CO,86.73,156,2018
Chaffee,CO,89.84,348,2018
Cheyenne,CO,88.75,261,2018
Clear Creek,CO,86.73,156,2018
Conejos,CO,88.33,239,2018
Costilla,CO,88.33,239,2018
Crowley,CO,88.33,239,2018
Custer,CO,89.84,348,2018
Delta,CO,89.84,348,2018
Denver,CO,86.73,156,2018
Dolores,CO,89.84,348,2018
Douglas,CO,86.73,156,2018
Eagle,CO,89.84,348,2018
Elbert,CO,88.75,261,2018
El Paso,CO,89.84,348,2018
Fremont,CO,89.84,348,2018
Garfield,CO,89.84,348,2018
Gilpin,CO,86.73,156,2018
Grand,CO,89.84,348,2018
Gunnison,CO,89.84,348,2018
Hinsdale,CO,89.84,348,2018
Huerfano,CO,88.33,239,2018
Jackson,CO,89.84,348,2018
Jefferson,CO,86.73,156,2018
Kiowa,CO,88.33,239,2018
Kit Carson,CO,88.75,261,2018
Lake,CO,89.84,348,2018
La Plata,CO,89.84,348,2018
Larimer,CO,88.75,261,2018
Las Animas,CO,88.33,239,2018
Lincoln,CO,88.75,261,2018
Logan,CO,88.75,261,2018
Mesa,CO,89.84,348,2018
Mineral,CO,88.33,239,2018
Moffat,CO,89.84,348,2018
Montezuma,CO,89.84,348,2018
Montrose,CO,89.84,348,2018
Morgan,CO,88.75,261,2018
Otero,CO,88.33,239,2018
Ouray,CO,89.84,348,2018
Park,CO,89.84,348,2018
Phillips,CO,88.75,261,2018
Pitkin,CO,89.84,348,2018
Prowers,CO,88.33,239,2018
Pueblo,CO,88.33,239,2018
Rio Blanco,CO,89.84,348,2018
Rio Grande,CO,88.33,239,2018
Routt,CO,89.84,348,2018
Saguache,CO,88.33,239,2018
San Juan,CO,89.84,348,2018
San Miguel,CO,89.84,348,2018
Sedgwick,CO,88.75,261,2018
Summit,CO,89.84,348,2018
Teller,CO,89.84,348,2018
Washington,CO,88.75,261,2018
Weld,CO,88.75,261,2018
Yuma,CO,88.75,261,2018
Fairfield,CT,87.54,186,2018
Hartford,CT,87.54,186,2018
Litchfield,CT,87.54,186,2018
Middlesex,CT,87.54,186,2018
New Haven,CT,87.54,186,2018
New London,CT,87.54,186,2018
Tolland,CT,87.54,186,2018
Windham,CT,87.54,186,2018
Kent,DE,77.45,13,2018
New Castle,DE,77.45,13,2018
Sussex,DE,77.45,13,2018
District of,,94.35,490,2018
Alachua,FL,89.12,293,2018
Baker,FL,89.12,293,2018
Bay,FL,87.87,210,2018
Bradford,FL,89.12,293,2018
Brevard,FL,86.04,109,2018
Broward,FL,92.64,458,2018
Calhoun,FL,87.87,210,2018
Charlotte,FL,86.27,127,2018
Citrus,FL,87.85,209,2018
Clay,FL,88.97,281,2018
Collier,FL,86.27,127,2018
Columbia,FL,89.12,293,2018
DeSoto,FL,90.87,391,2018
Dixie,FL,89.12,293,2018
Duval,FL,88.97,281,2018
Escambia,FL,87.42,181,2018
Flagler,FL,89.62,331,2018
Franklin,FL,90.75,381,2018
Gadsden,FL,90.75,381,2018
Gilchrist,FL,89.12,293,2018
Glades,FL,86.27,127,2018
Gulf,FL,87.87,210,2018
Hamilton,FL,89.12,293,2018
Hardee,FL,87.69,193,2018
Hendry,FL,86.27,127,2018
Hernando,FL,87.85,209,2018
Highlands,FL,87.69,193,2018
Hillsborough,FL,88.39,241,2018
Holmes,FL,87.87,210,2018
Indian River,FL,88,213,2018
Jackson,FL,87.87,210,2018
Jefferson,FL,90.75,381,2018
Lafayette,FL,89.12,293,2018
Lake,FL,87.85,209,2018
Lee,FL,86.27,127,2018
Leon,FL,90.75,381,2018
Levy,FL,89.12,293,2018
Liberty,FL,90.75,381,2018
Madison,FL,90.75,381,2018
Manatee,FL,90.87,391,2018
Marion,FL,87.85,209,2018
Martin,FL,88,213,2018
Miami-Dade,FL,97.93,511,2018
Monroe,FL,97.93,511,2018
Nassau,FL,88.97,281,2018
Okaloosa,FL,87.42,181,2018
Okeechobee,FL,88,213,2018
Orange,FL,90.11,352,2018
Osceola,FL,90.11,352,2018
Palm Beach,FL,86.25,122,2018
Pasco,FL,86.52,140,2018
Pinellas,FL,86.52,140,2018
Polk,FL,87.69,193,2018
Putnam,FL,89.62,331,2018
St. Johns,FL,89.62,331,2018
St. Lucie,FL,88,213,2018
Santa Rosa,FL,87.42,181,2018
Sarasota,FL,90.87,391,2018
Seminole,FL,86.04,109,2018
Sumter,FL,87.85,209,2018
Suwannee,FL,89.12,293,2018
Taylor,FL,90.75,381,2018
Union,FL,89.12,293,2018
Volusia,FL,89.62,331,2018
Wakulla,FL,90.75,381,2018
Walton,FL,87.42,181,2018
Washington,FL,87.87,210,2018
Appling,GA,87.8,199,2018
Atkinson,GA,87.8,199,2018
Bacon,GA,87.8,199,2018
Baker,GA,91.3,402,2018
Baldwin,GA,88.24,229,2018
Banks,GA,88.24,229,2018
Barrow,GA,88.24,229,2018
Bartow,GA,88.24,229,2018
Ben Hill,GA,91.3,402,2018
Berrien,GA,91.3,402,2018
Bibb,GA,88.24,229,2018
Bleckley,GA,87.8,199,2018
Brantley,GA,87.8,199,2018
Brooks,GA,91.3,402,2018
Bryan,GA,87.8,199,2018
Bulloch,GA,87.8,199,2018
Burke,GA,88.24,229,2018
Butts,GA,86.56,145,2018
Calhoun,GA,91.3,402,2018
Camden,GA,87.8,199,2018
Candler,GA,87.8,199,2018
Carroll,GA,86.56,145,2018
Catoosa,GA,88.24,229,2018
