county,state,crimeRate,crimeRateBucket,year
St. Louis,MO,303.3619454,371,2019
Crittenden,AR,1754.914968,511,2019
Alexander,IL,1664.700485,511,2019
Kenedy,TX,1456.31068,511,2019
De Soto,LA,1447.40243,511,2019
Baltimore,MD,508.0101821,464,2019
Shelby,TN,1315.003752,511,2019
Marlboro,SC,1253.437132,511,2019
Storey,NV,1217.656012,510,2019
District of,,1216.801325,510,2019
Dillon,SC,1165.583272,510,2019
Scott,MO,1163.145839,510,2019
Philadelphia,PA,1150.29633,510,2019
Pershing,NV,1148.756725,510,2019
Greenwood,SC,1140.226324,509,2019
Madison,TN,1138.42383,509,2019
Davidson,TN,1129.513728,509,2019
Marion,IN,1083.508119,509,2019
Wayne,MI,1065.188284,509,2019
Jackson,MO,1026.623686,509,2019
Northwest Arctic,AK,1014.964216,508,2019
Pemiscot,MO,998.7095326,508,2019
Iberville,LA,974.0162436,508,2019
Pulaski,AR,959.9165823,508,2019
Jefferson,AR,959.1343198,508,2019
Miller,AR,956.1771347,508,2019
Muskogee,OK,954.4400666,507,2019
Barnwell,SC,953.9310095,507,2019
Tangipahoa,LA,952.8593755,507,2019
Marion,SC,941.6313295,507,2019
Dillingham,AK,938.1237525,507,2019
Dougherty,GA,930.4176661,507,2019
Carter,OK,930.0694974,506,2019
Genesee,MI,922.7783984,506,2019
Macon,AL,919.341731,506,2019
Milwaukee,WI,912.6349471,506,2019
Richland,SC,911.4452882,506,2019
Grundy,TN,911.2461105,506,2019
Greene,AL,903.4766697,505,2019
Rock,MN,892.8571429,505,2019
San Joaquin,CA,887.1644385,505,2019
Pottawattamie,IA,873.5225606,505,2019
Nolan,TX,871.1844118,505,2019
Kodiak,AK,856.0311284,505,2019
Winnebago,IL,854.9331535,504,2019
Suffolk,MA,831.2342903,504,2019
Saginaw,MI,828.830479,504,2019
Dallas,AL,828.6503477,504,2019
Fulton,GA,826.1767583,504,2019
Anchorage,AK,824.7217146,504,2019
Madison,FL,822.2981632,503,2019
Phillips,AR,818.6675817,503,2019
Sangamon,IL,817.9969369,503,2019
Haywood,TN,812.1158911,503,2019
Lucas,OH,810.9662621,503,2019
Robeson,NC,809.8427036,503,2019
Meade,KS,805.8945429,503,2019
Escambia,FL,798.51676,502,2019
Jefferson,AL,798.3574913,502,2019
Nicholas,WV,793.3756981,502,2019
Franklin,FL,793.2402138,502,2019
St. Clair,IL,782.1542957,502,2019
Orleans,LA,782.1184796,502,2019
Ector,TX,781.9089826,501,2019
Avoyelles,LA,777.2585293,501,2019
Rapides,LA,773.792033,501,2019
Sumter,SC,767.644257,501,2019
Comanche,OK,766.7864604,501,2019
Mississippi,AR,763.9897241,501,2019
Colleton,SC,762.1467132,500,2019
Modoc,CA,754.3456871,500,2019
Alameda,CA,753.6935735,500,2019
Sumter,GA,752.455044,500,2019
Darlington,SC,746.3016118,500,2019
Red River,LA,742.0733078,500,2019
Lubbock,TX,740.6920961,499,2019
Socorro,NM,739.3084622,499,2019
Duval,TX,738.8316151,499,2019
Bernalillo,NM,738.4818924,499,2019
Marion,TX,732.7796776,499,2019
Lee,SC,730.3646373,499,2019
Shasta,CA,725.2206951,498,2019
Laurens,SC,724.7580365,498,2019
North Slope,AK,722.6925459,498,2019
Hinds,MS,721.5219335,498,2019
Cibola,NM,720.6877629,498,2019
Tulsa,OK,719.1412721,498,2019
Putnam,FL,717.8582747,497,2019
Jefferson,TX,710.8948399,497,2019
Ohio,WV,706.6572141,497,2019
San Francisco,CA,701.4217104,497,2019
Bamberg,SC,699.9351912,497,2019
Merced,CA,696.3544912,497,2019
Harris,TX,696.1038338,496,2019
Jim Wells,TX,695.7773512,496,2019
Oklahoma,OK,694.8738489,496,2019
McKinley,NM,694.3307688,496,2019
Mississippi,MO,693.1802269,496,2019
Alpine,CA,690.2502157,496,2019
Calhoun,GA,689.8666258,495,2019
Dyer,TN,688.2474551,495,2019
Clark,NV,685.153077,495,2019
Guadalupe,NM,681.1689739,495,2019
San Juan,NM,675.0828044,495,2019
Fairfield,SC,675.0616643,495,2019
McDonald,MO,673.8186009,494,2019
Taylor,FL,673.754211,494,2019
Wayne,GA,668.2847358,494,2019
East Baton Rouge,LA,667.0754469,494,2019
Leon,FL,664.1948589,494,2019
Lander,NV,663.1299735,494,2019
Orange,FL,662.6310837,494,2019
Leflore,MS,661.2459265,493,2019
Essex,NJ,659.9836619,493,2019
Peach,GA,658.9175983,493,2019
Burke,GA,658.7270427,493,2019
Hamilton,TN,658.496643,493,2019
Miami-Dade,FL,656.0124348,493,2019
Columbia,FL,654.3979391,492,2019
Crockett,TN,651.0862861,492,2019
Lenoir,NC,650.100146,492,2019
Hempstead,AR,649.6395835,492,2019
Hutchinson,TX,646.2257665,492,2019
Richmond,VA,11.16944041,27,2019
Jefferson Davis,MS,644.4593237,492,2019
Conecuh,AL,644.0599053,491,2019
Morehouse,LA,639.3909155,491,2019
Early,GA,635.553026,491,2019
Henderson,TN,634.6263548,491,2019
Richmond,NY,634.123325,491,2019
New York,NY,634.0093435,491,2019
Jefferson,IL,633.9923403,490,2019
Bronx,NY,632.0428157,490,2019
Queens,NY,630.3962024,490,2019
Kings,NY,630.2492642,490,2019
Warren,GA,629.7229219,490,2019
Nash,NC,628.8580653,490,2019
Lauderdale,TN,626.0118726,489,2019
Cocke,TN,625.7222582,489,2019
Bowie,TX,622.5464503,489,2019
Hampton,SC,622.3049784,489,2019
Hendry,FL,621.814203,489,2019
Duval,FL,621.5464156,489,2019
Durham,NC,621.2408853,488,2019
Greene,MO,620.7066615,488,2019
Jefferson,FL,619.9802734,488,2019
Escambia,AL,618.6978385,488,2019
Horry,SC,617.6419817,488,2019
Nueces,TX,616.5739392,488,2019
Sedgwick,KS,615.5337693,487,2019
Edgecombe,NC,615.3956886,487,2019
Montgomery,KS,615.303861,487,2019
Caddo,LA,614.7822368,487,2019
Graham,AZ,613.6278747,487,2019
Madera,CA,612.9051309,487,2019
Sebastian,AR,612.5237549,486,2019
Emanuel,GA,612.2359732,486,2019
Camden,NJ,610.3101467,486,2019
Nye,NV,609.9723385,486,2019
Greenlee,AZ,607.8019671,486,2019
Alachua,FL,605.2451953,486,2019
Union,AR,604.5117216,485,2019
Peoria,IL,603.941007,485,2019
Madison,AL,603.3578174,485,2019
Calhoun,MI,602.1686961,485,2019
Williamsburg,SC,601.8084495,485,2019
Roberts,TX,601.6847172,485,2019
Bradley,TN,600.895452,485,2019
Anderson,SC,600.0807801,484,2019
Denver,CO,599.0808243,484,2019
Chester,SC,598.5634477,484,2019
Lowndes,AL,597.9631879,484,2019
Willacy,TX,597.6004744,484,2019
Cook,IL,596.6569351,484,2019
Clark,IN,593.2458517,483,2019
DeKalb,GA,592.9851123,483,2019
Potter,TX,592.6303417,483,2019
Arkansas,AR,591.1487458,483,2019
