county,state,percentHighSchool,percentHighSchoolBucket,year
Autauga,AL,88.5,273,2019
Baldwin,AL,90.8,360,2019
Barbour,AL,73.2,19,2019
Bibb,AL,79.1,64,2019
Blount,AL,80.5,88,2019
Bullock,AL,74.7,26,2019
Butler,AL,85,174,2019
Calhoun,AL,84.4,158,2019
Chambers,AL,81.6,106,2019
Cherokee,AL,81.6,106,2019
Chilton,AL,81.8,109,2019
Choctaw,AL,81.4,102,2019
Clarke,AL,80.6,89,2019
Clay,AL,76.7,40,2019
Cleburne,AL,79,63,2019
Coffee,AL,85.9,194,2019
Colbert,AL,85.2,178,2019
Conecuh,AL,84.3,156,2019
Coosa,AL,80,78,2019
Covington,AL,83.4,139,2019
Crenshaw,AL,79.2,66,2019
Cullman,AL,81.6,106,2019
Dale,AL,86.1,201,2019
Dallas,AL,81.8,109,2019
DeKalb,AL,74.8,27,2019
Elmore,AL,86.6,214,2019
Escambia,AL,81.1,97,2019
Etowah,AL,84.6,164,2019
Fayette,AL,82.6,125,2019
Franklin,AL,77.2,46,2019
Geneva,AL,80.3,85,2019
Greene,AL,79.2,66,2019
Hale,AL,84,150,2019
Henry,AL,79.4,68,2019
Houston,AL,86,197,2019
Jackson,AL,83.2,135,2019
Jefferson,AL,90.1,330,2019
Lamar,AL,82.3,119,2019
Lauderdale,AL,87.4,236,2019
Lawrence,AL,79.3,67,2019
Lee,AL,90.9,364,2019
Limestone,AL,84.7,166,2019
Lowndes,AL,78.3,55,2019
Macon,AL,81.8,109,2019
Madison,AL,91.7,393,2019
Marengo,AL,83.8,147,2019
Marion,AL,79.6,71,2019
Marshall,AL,81.6,106,2019
Mobile,AL,86.5,212,2019
Monroe,AL,85.6,186,2019
Montgomery,AL,86.7,216,2019
Morgan,AL,84.1,153,2019
Perry,AL,82.8,128,2019
Pickens,AL,81.5,104,2019
Pike,AL,85,174,2019
Randolph,AL,79.6,71,2019
Russell,AL,83.8,147,2019
St. Clair,AL,84.6,164,2019
Shelby,AL,92.7,433,2019
Sumter,AL,86.7,216,2019
Talladega,AL,80.3,85,2019
Tallapoosa,AL,80.7,91,2019
Tuscaloosa,AL,88.3,264,2019
Walker,AL,81.8,109,2019
Washington,AL,82.6,125,2019
Wilcox,AL,76.5,38,2019
Winston,AL,78.8,60,2019
Aleutians East,AK,85.5,185,2019
Aleutians West,AK,89.5,308,2019
Anchorage,AK,93.9,470,2019
Bethel,AK,80.9,94,2019
Bristol Bay,AK,94,473,2019
Denali,AK,98.5,511,2019
Dillingham,AK,86.3,207,2019
Fairbanks North Star,AK,94.5,483,2019
Haines,AK,97.5,510,2019
Hoonah-Angoon,AK,93.7,465,2019
Juneau City,AK,96.4,507,2019
Kenai Peninsula,AK,92.7,433,2019
Ketchikan Gateway,AK,92.8,437,2019
Kodiak,AK,89.8,319,2019
Kusilvak,AK,78.9,62,2019
Lake and Peninsula,AK,88,254,2019
Matanuska-Susitna,AK,92.9,440,2019
Nome,AK,84.6,164,2019
North Slope,AK,89.7,315,2019
Northwest Arctic,AK,82.5,123,2019
Petersburg,AK,89.7,315,2019
Prince of Wales-Hyder,AK,90.8,360,2019
Sitka City,AK,94.7,487,2019
Skagway,AK,94.7,487,2019
Southeast Fairbanks,AK,89.9,323,2019
Valdez-Cordova,AK,95.4,498,2019
Wrangell City,AK,86.5,212,2019
