county,state,population,populationBucket,year
Autauga,AL,43953,362,2019
Baldwin,AL,172297,462,2019
Barbour,AL,20636,252,2019
Bibb,AL,18492,236,2019
Blount,AL,45907,367,2019
Bullock,AL,8375,120,2019
Butler,AL,15853,211,2019
Calhoun,AL,92886,426,2019
Chambers,AL,27403,296,2019
Cherokee,AL,21390,260,2019
Chilton,AL,34827,333,2019
Choctaw,AL,10685,148,2019
Clarke,AL,19548,244,2019
Clay,AL,10841,151,2019
Cleburne,AL,11942,165,2019
Coffee,AL,40755,354,2019
Colbert,AL,44515,364,2019
Conecuh,AL,10094,143,2019
Coosa,AL,9140,129,2019
Covington,AL,29973,310,2019
Crenshaw,AL,11114,154,2019
Cullman,AL,66350,402,2019
Dale,AL,39177,349,2019
Dallas,AL,30693,314,2019
DeKalb,AL,56091,389,2019
Elmore,AL,65170,401,2019
Escambia,AL,29780,309,2019
Etowah,AL,83242,419,2019
Fayette,AL,13428,183,2019
Franklin,AL,24340,279,2019
Geneva,AL,21355,259,2019
Greene,AL,6544,89,2019
Hale,AL,11792,163,2019
Henry,AL,14042,191,2019
Houston,AL,83196,419,2019
Jackson,AL,42222,358,2019
Jefferson,AL,525234,496,2019
Lamar,AL,11104,154,2019
Lauderdale,AL,76212,412,2019
Lawrence,AL,26684,292,2019
Lee,AL,130253,447,2019
Limestone,AL,75899,412,2019
Lowndes,AL,8043,115,2019
Macon,AL,15831,210,2019
Madison,AL,292072,481,2019
Marengo,AL,15514,207,2019
Marion,AL,24260,279,2019
Marshall,AL,74429,411,2019
Mobile,AL,327383,484,2019
Monroe,AL,17101,223,2019
Montgomery,AL,179440,465,2019
Morgan,AL,95022,428,2019
Perry,AL,7569,107,2019
Pickens,AL,16747,220,2019
Pike,AL,27622,297,2019
Randolph,AL,18293,234,2019
Russell,AL,45533,366,2019
St. Clair,AL,70160,406,2019
Shelby,AL,168899,461,2019
Sumter,AL,10570,147,2019
Talladega,AL,65202,401,2019
Tallapoosa,AL,33041,325,2019
Tuscaloosa,AL,168197,461,2019
Walker,AL,51506,379,2019
Washington,AL,13300,180,2019
Wilcox,AL,8487,121,2019
Winston,AL,19489,243,2019
Aleutians East,AK,2960,35,2019
Aleutians West,AK,4796,61,2019
Anchorage,AK,229042,473,2019
Bethel,AK,12405,170,2019
Bristol Bay,AK,723,4,2019
Denali,AK,2025,21,2019
Dillingham,AK,3600,44,2019
Fairbanks North Star,AK,77300,413,2019
Haines,AK,1909,20,2019
Hoonah-Angoon,AK,1842,18,2019
Juneau City,AK,26030,287,2019
Kenai Peninsula,AK,46721,369,2019
Ketchikan Gateway,AK,11098,154,2019
Kodiak,AK,10327,145,2019
Kusilvak,AK,5228,68,2019
Lake and Peninsula,AK,1109,8,2019
Matanuska-Susitna,AK,80098,416,2019
Nome,AK,6888,95,2019
North Slope,AK,7516,106,2019
Northwest Arctic,AK,5255,69,2019
Petersburg,AK,2685,31,2019
Prince of Wales-Hyder,AK,5057,66,2019
Sitka City,AK,6989,97,2019
Skagway,AK,973,7,2019
Southeast Fairbanks,AK,5183,67,2019
Valdez-Cordova,AK,7258,102,2019
Wrangell City,AK,2102,23,2019
Yakutat City,AK,505,1,2019
Yukon-Koyukuk,AK,4057,50,2019
Apache,AZ,54229,385,2019
Cochise,AZ,101327,432,2019
Coconino,AZ,115514,440,2019
Gila,AZ,43850,361,2019
Graham,AZ,28895,304,2019
Greenlee,AZ,7196,101,2019
La Paz,AZ,17815,230,2019
Maricopa,AZ,3402498,511,2019
Mohave,AZ,175830,463,2019
Navajo,AZ,82886,418,2019
Pima,AZ,834998,505,2019
Pinal,AZ,343846,486,2019
Santa Cruz,AZ,35419,335,2019
Yavapai,AZ,194627,468,2019
Yuma,AZ,161991,460,2019
Arkansas,AR,14285,194,2019
Ashley,AR,16004,213,2019
Baxter,AR,35079,334,2019
Benton,AR,203159,470,2019
Boone,AR,29544,307,2019
Bradley,AR,8551,123,2019
Calhoun,AR,4350,55,2019
Carroll,AR,22563,268,2019
Chicot,AR,8541,122,2019
Clark,AR,18643,236,2019
Clay,AR,12016,167,2019
Cleburne,AR,20944,256,2019
Cleveland,AR,6487,87,2019
Columbia,AR,19430,243,2019
Conway,AR,16421,217,2019
Craighead,AR,83529,419,2019
Crawford,AR,49100,374,2019
Crittenden,AR,36753,341,2019
Cross,AR,13365,182,2019
Dallas,AR,5986,81,2019
Desha,AR,9054,128,2019
Drew,AR,14825,199,2019
Faulkner,AR,98015,430,2019
Franklin,AR,14060,191,2019
Fulton,AR,10072,143,2019
Garland,AR,81156,416,2019
Grant,AR,14499,196,2019
Greene,AR,35266,335,2019
Hempstead,AR,16840,221,2019
Hot Spring,AR,27540,296,2019
Howard,AR,10253,145,2019
Independence,AR,29431,306,2019
Izard,AR,11394,158,2019
Jackson,AR,13969,190,2019
Jefferson,AR,55752,387,2019
Johnson,AR,20675,252,2019
Lafayette,AR,5638,74,2019
Lawrence,AR,13233,180,2019
Lee,AR,7766,110,2019
Lincoln,AR,11627,161,2019
Little River,AR,9941,140,2019
Logan,AR,17492,226,2019
Lonoke,AR,56011,388,2019
Madison,AR,12968,177,2019
Marion,AR,13812,187,2019
Miller,AR,34690,332,2019
Mississippi,AR,32523,323,2019
Monroe,AR,5730,77,2019
Montgomery,AR,7507,106,2019
Nevada,AR,6667,91,2019
Newton,AR,6446,87,2019
Ouachita,AR,18975,239,2019
Perry,AR,8313,119,2019
Phillips,AR,14245,193,2019
Pike,AR,8651,124,2019
Poinsett,AR,18894,238,2019
Polk,AR,15922,211,2019
Pope,AR,50780,376,2019
Prairie,AR,6743,92,2019
Pulaski,AR,310788,483,2019
Randolph,AR,13937,190,2019
St. Francis,AR,20618,252,2019
Saline,AR,94893,428,2019
Scott,AR,8125,117,2019
Searcy,AR,6507,88,2019
Sebastian,AR,100405,430,2019
Sevier,AR,12766,175,2019
Sharp,AR,13921,190,2019
Stone,AR,10368,145,2019
Union,AR,30812,314,2019
Van Buren,AR,13714,186,2019
Washington,AR,181075,465,2019
White,AR,62498,396,2019
Woodruff,AR,5282,69,2019
Yell,AR,16913,221,2019
Alameda,CA,1348945,508,2019
Alpine,CA,853,6,2019
Amador,CA,33303,327,2019
Butte,CA,185581,465,2019
Calaveras,CA,38788,348,2019
Colusa,CA,16253,215,2019
Contra Costa,CA,912021,506,2019
Del Norte,CA,22152,265,2019
El Dorado,CA,155509,458,2019
Fresno,CA,732804,503,2019
Glenn,CA,21407,260,2019
Humboldt,CA,112435,438,2019
Imperial,CA,134294,449,2019
Inyo,CA,14750,198,2019
Kern,CA,656416,500,2019
Kings,CA,113805,439,2019
Lake,CA,52349,381,2019
Lassen,CA,26650,292,2019
Los Angeles,CA,8123894,511,2019
Madera,CA,117569,441,2019
Marin,CA,213264,471,2019
Mariposa,CA,14810,199,2019
Mendocino,CA,70884,407,2019
Merced,CA,199752,469,2019
Modoc,CA,7365,104,2019
Mono,CA,11974,166,2019
Monterey,CA,331873,485,2019
Napa,CA,114315,439,2019
Nevada,CA,84376,420,2019
Orange,CA,2548382,511,2019
Placer,CA,309647,483,2019
Plumas,CA,15985,212,2019
Riverside,CA,1870395,510,2019
Sacramento,CA,1201259,507,2019
San Benito,CA,46508,369,2019
San Bernardino,CA,1642850,509,2019
San Diego,CA,2671935,511,2019
San Francisco,CA,769095,504,2019
San Joaquin,CA,562701,497,2019
San Luis Obispo,CA,237717,474,2019
San Mateo,CA,625917,499,2019
Santa Barbara,CA,356516,487,2019
Santa Clara,CA,1546443,509,2019
Santa Cruz,CA,226982,473,2019
Shasta,CA,144796,454,2019
Sierra,CA,2589,30,2019
Siskiyou,CA,35722,337,2019
Solano,CA,353910,486,2019
Sonoma,CA,412267,491,2019
Stanislaus,CA,411851,490,2019
Sutter,CA,73763,409,2019
Tehama,CA,50521,376,2019
Trinity,CA,10809,150,2019
Tulare,CA,334664,485,2019
Tuolumne,CA,45972,368,2019
Ventura,CA,673573,501,2019
Yolo,CA,176246,463,2019
Yuba,CA,57263,390,2019
Adams,CO,382633,489,2019
Alamosa,CO,12578,172,2019
Arapahoe,CO,508272,495,2019
Archuleta,CO,11144,155,2019
Baca,CO,2909,35,2019
Bent,CO,4987,65,2019
Boulder,CO,267744,479,2019
Broomfield,CO,54076,384,2019
Chaffee,CO,16969,222,2019
Cheyenne,CO,1476,12,2019
Clear Creek,CO,8257,118,2019
Conejos,CO,6216,84,2019
Costilla,CO,3184,38,2019
Crowley,CO,5133,67,2019
Custer,CO,4130,52,2019
Delta,CO,25121,283,2019
Denver,CO,578596,498,2019
Dolores,CO,1473,12,2019
Douglas,CO,257841,478,2019
Eagle,CO,44064,363,2019
Elbert,CO,20818,254,2019
El Paso,CO,547794,496,2019
Fremont,CO,40764,354,2019
Garfield,CO,45708,367,2019
Gilpin,CO,5291,70,2019
Grand,CO,12914,177,2019
Gunnison,CO,14257,193,2019
Hinsdale,CO,732,5,2019
Huerfano,CO,5668,75,2019
Jackson,CO,1107,8,2019
Jefferson,CO,473454,494,2019
Kiowa,CO,1116,8,2019
Kit Carson,CO,5863,79,2019
Lake,CO,6583,89,2019
La Plata,CO,46079,368,2019
Larimer,CO,284223,480,2019
Las Animas,CO,12054,167,2019
Lincoln,CO,4587,58,2019
Logan,CO,18279,233,2019
Mesa,CO,122073,443,2019
Mineral,CO,730,4,2019
Moffat,CO,10130,143,2019
Montezuma,CO,20972,256,2019
Montrose,CO,33589,328,2019
Morgan,CO,21900,263,2019
Otero,CO,14491,196,2019
Ouray,CO,4136,52,2019
Park,CO,15374,205,2019
Phillips,CO,3243,39,2019
Pitkin,CO,15422,206,2019
Prowers,CO,9289,131,2019
Pueblo,CO,132663,448,2019
Rio Blanco,CO,5007,65,2019
Rio Grande,CO,9127,129,2019
Routt,CO,21075,257,2019
Saguache,CO,5319,70,2019
San Juan,CO,522,2,2019
San Miguel,CO,6752,93,2019
Sedgwick,CO,1795,17,2019
Summit,CO,26256,289,2019
Teller,CO,20615,252,2019
Washington,CO,3904,47,2019
Weld,CO,233287,474,2019
Yuma,CO,7543,107,2019
Fairfield,CT,755389,504,2019
Hartford,CT,728735,502,2019
Litchfield,CT,152691,456,2019
Middlesex,CT,137758,451,2019
New Haven,CT,704968,502,2019
New London,CT,221259,472,2019
Tolland,CT,127941,446,2019
Windham,CT,96227,429,2019
Kent,DE,140381,452,2019
New Castle,DE,449993,493,2019
Sussex,DE,186652,466,2019
District of,,579127,498,2019
Alachua,FL,222786,472,2019
Baker,FL,22108,264,2019
Bay,FL,147605,455,2019
Bradford,FL,22527,268,2019
Brevard,FL,491256,494,2019
Broward,FL,1564316,509,2019
Calhoun,FL,11729,162,2019
Charlotte,FL,161698,460,2019
Citrus,FL,126312,445,2019
Clay,FL,167906,461,2019
Collier,FL,314236,484,2019
Columbia,FL,56542,389,2019
DeSoto,FL,30529,312,2019
Dixie,FL,13970,191,2019
Duval,FL,746181,503,2019
Escambia,FL,254984,477,2019
Flagler,FL,93293,427,2019
Franklin,FL,10071,143,2019
Gadsden,FL,36743,341,2019
Gilchrist,FL,14902,201,2019
Glades,FL,11545,160,2019
Gulf,FL,13353,182,2019
Hamilton,FL,11932,164,2019
Hardee,FL,20760,253,2019
Hendry,FL,30996,316,2019
Hernando,FL,155939,458,2019
Highlands,FL,87692,422,2019
Hillsborough,FL,1138370,507,2019
Holmes,FL,16065,214,2019
Indian River,FL,131686,448,2019
Jackson,FL,40149,352,2019
Jefferson,FL,12009,167,2019
Lafayette,FL,7023,98,2019
Lake,FL,286489,481,2019
Lee,FL,620831,499,2019
Leon,FL,241933,475,2019
Levy,FL,33219,326,2019
Liberty,FL,7193,101,2019
Madison,FL,15385,205,2019
Manatee,FL,321077,484,2019
Marion,FL,295412,482,2019
Martin,FL,135665,449,2019
Miami-Dade,FL,2209841,510,2019
Monroe,FL,65747,401,2019
Nassau,FL,68646,404,2019
Okaloosa,FL,163148,460,2019
