county,state,percentCollege,percentCollegeBucket,year
Autauga,AL,16.7,357,2020
Baldwin,AL,20.2,429,2020
Barbour,AL,7.3,29,2020
Bibb,AL,7.4,32,2020
Blount,AL,8.9,71,2020
Bullock,AL,6.1,12,2020
Butler,AL,10.1,112,2020
Calhoun,AL,10.5,128,2020
Chambers,AL,10.5,128,2020
Cherokee,AL,6.3,14,2020
Chilton,AL,8.2,51,2020
Choctaw,AL,8.2,51,2020
Clarke,AL,8.4,58,2020
Clay,AL,7.6,36,2020
Cleburne,AL,10.6,132,2020
Coffee,AL,13.9,263,2020
Colbert,AL,10.9,144,2020
Conecuh,AL,8.2,51,2020
Coosa,AL,8,46,2020
Covington,AL,9.3,81,2020
Crenshaw,AL,13.1,232,2020
Cullman,AL,10.1,112,2020
Dale,AL,12.6,214,2020
Dallas,AL,10.3,120,2020
DeKalb,AL,8.6,61,2020
Elmore,AL,16.9,362,2020
Escambia,AL,8.8,68,2020
Etowah,AL,10.8,140,2020
Fayette,AL,9.1,76,2020
Franklin,AL,10.3,120,2020
Geneva,AL,7.8,42,2020
Greene,AL,5.8,9,2020
Hale,AL,10.6,132,2020
Henry,AL,12.3,199,2020
Houston,AL,13.9,263,2020
Jackson,AL,10.6,132,2020
Jefferson,AL,20.9,442,2020
Lamar,AL,7,24,2020
Lauderdale,AL,16,337,2020
Lawrence,AL,10.2,117,2020
Lee,AL,20.1,427,2020
Limestone,AL,17.5,375,2020
Lowndes,AL,8.1,49,2020
Macon,AL,11,147,2020
Madison,AL,26.9,494,2020
Marengo,AL,10,107,2020
Marion,AL,8,46,2020
Marshall,AL,14,266,2020
Mobile,AL,16.2,343,2020
Monroe,AL,8.5,60,2020
Montgomery,AL,19.6,419,2020
Morgan,AL,14.5,285,2020
Perry,AL,11.5,169,2020
Pickens,AL,9.6,91,2020
Pike,AL,16,337,2020
Randolph,AL,9.7,95,2020
Russell,AL,11.2,154,2020
St. Clair,AL,12.4,204,2020
Shelby,AL,28.9,500,2020
Sumter,AL,9.9,103,2020
Talladega,AL,8.8,68,2020
Tallapoosa,AL,11.9,185,2020
Tuscaloosa,AL,18.3,394,2020
Walker,AL,8.4,58,2020
Washington,AL,6.3,14,2020
Wilcox,AL,7.9,43,2020
Winston,AL,7.9,43,2020
Aleutians East,AK,10.5,128,2020
Aleutians West,AK,14.4,280,2020
Anchorage,AK,22.7,464,2020
Bethel,AK,5.7,8,2020
Bristol Bay,AK,20.3,430,2020
Chugach,AK,16.3,347,2020
Copper River,AK,17.4,373,2020
Denali,AK,25.6,487,2020
Dillingham,AK,8.5,60,2020
Fairbanks North Star,AK,18.8,406,2020
Haines,AK,16.7,357,2020
Hoonah-Angoon,AK,14.6,289,2020
Juneau City,AK,25.3,486,2020
Kenai Peninsula,AK,16.2,343,2020
Ketchikan Gateway,AK,16.9,362,2020
Kodiak,AK,17.9,385,2020
Kusilvak,AK,2.6,0,2020
Lake and Peninsula,AK,10.6,132,2020
Matanuska-Susitna,AK,14.3,276,2020
Nome,AK,8.4,58,2020
North Slope,AK,11.3,158,2020
Northwest Arctic,AK,8.3,54,2020
Petersburg,AK,19.6,419,2020
Prince of Wales-Hyder,AK,11.8,181,2020
Sitka City,AK,22,457,2020
Skagway,AK,19.2,412,2020
Southeast Fairbanks,AK,10.8,140,2020
Wrangell City,AK,11.5,169,2020
Yakutat City,AK,15.4,317,2020
Yukon-Koyukuk,AK,8.2,51,2020
Apache,AZ,7.7,39,2020
Cochise,AZ,15.7,327,2020
Coconino,AZ,22.5,462,2020
Gila,AZ,12,189,2020
Graham,AZ,10.1,112,2020
Greenlee,AZ,13.6,253,2020
La Paz,AZ,8.3,54,2020
Maricopa,AZ,21.1,446,2020
Mohave,AZ,8.3,54,2020
Navajo,AZ,9.6,91,2020
Pima,AZ,19.3,415,2020
Pinal,AZ,14,266,2020
Santa Cruz,AZ,13.1,232,2020
Yavapai,AZ,15,304,2020
Yuma,AZ,10.1,112,2020
Arkansas,AR,10.8,140,2020
Ashley,AR,9.1,76,2020
Baxter,AR,11.8,181,2020
Benton,AR,23.1,469,2020
Boone,AR,11.3,158,2020
Bradley,AR,10.1,112,2020
Calhoun,AR,5.6,7,2020
Carroll,AR,14,266,2020
Chicot,AR,10.2,117,2020
Clark,AR,16.5,352,2020
Clay,AR,7.2,28,2020
Cleburne,AR,10.4,124,2020
Cleveland,AR,11.3,158,2020
Columbia,AR,13,229,2020
Conway,AR,13.4,244,2020
Craighead,AR,16.7,357,2020
Crawford,AR,12.9,224,2020
Crittenden,AR,11.7,176,2020
Cross,AR,8.2,51,2020
Dallas,AR,9.1,76,2020
Desha,AR,10.4,124,2020
Drew,AR,15,304,2020
Faulkner,AR,19.9,423,2020
Franklin,AR,8.7,64,2020
Fulton,AR,7.8,42,2020
Garland,AR,15.2,312,2020
Grant,AR,14.1,270,2020
Greene,AR,11.7,176,2020
Hempstead,AR,10.2,117,2020
Hot Spring,AR,10,107,2020
Howard,AR,10.3,120,2020
Independence,AR,12.6,214,2020
Izard,AR,10,107,2020
Jackson,AR,7.3,29,2020
Jefferson,AR,11.9,185,2020
Johnson,AR,10.5,128,2020
Lafayette,AR,10.9,144,2020
Lawrence,AR,9.7,95,2020
Lee,AR,7,24,2020
Lincoln,AR,5.8,9,2020
Little River,AR,10,107,2020
Logan,AR,8.3,54,2020
Lonoke,AR,14.3,276,2020
Madison,AR,7.3,29,2020
Marion,AR,10.8,140,2020
Miller,AR,11.2,154,2020
Mississippi,AR,10,107,2020
Monroe,AR,9.4,85,2020
Montgomery,AR,9.6,91,2020
Nevada,AR,7.8,42,2020
Newton,AR,10.8,140,2020
Ouachita,AR,8.8,68,2020
Perry,AR,13,229,2020
Phillips,AR,10.6,132,2020
Pike,AR,11.8,181,2020
Poinsett,AR,8.3,54,2020
Polk,AR,9.8,99,2020
Pope,AR,16.5,352,2020
Prairie,AR,11.1,150,2020
Pulaski,AR,21.1,446,2020
Randolph,AR,8.8,68,2020
St. Francis,AR,6.3,14,2020
Saline,AR,18.6,401,2020
Scott,AR,8.3,54,2020
Searcy,AR,8,46,2020
Sebastian,AR,15,304,2020
Sevier,AR,8.5,60,2020
Sharp,AR,7,24,2020
Stone,AR,9.4,85,2020
Union,AR,14.4,280,2020
Van Buren,AR,9.3,81,2020
Washington,AR,19.3,415,2020
White,AR,12.2,196,2020
Woodruff,AR,8.9,71,2020
Yell,AR,8.8,68,2020
Alameda,CA,28.1,498,2020
Alpine,CA,19.8,421,2020
Amador,CA,12.3,199,2020
Butte,CA,18.4,396,2020
Calaveras,CA,13.5,249,2020
Colusa,CA,11.5,169,2020
Contra Costa,CA,26.8,494,2020
Del Norte,CA,9.5,88,2020
El Dorado,CA,23.6,474,2020
Fresno,CA,14.6,289,2020
Glenn,CA,11.4,164,2020
Humboldt,CA,20.7,438,2020
Imperial,CA,11,147,2020
Inyo,CA,16.4,350,2020
Kern,CA,11.4,164,2020
Kings,CA,10.1,112,2020
Lake,CA,11.1,150,2020
Lassen,CA,9.1,76,2020
Los Angeles,CA,21.8,455,2020
Madera,CA,10.8,140,2020
Marin,CA,34.4,508,2020
Mariposa,CA,17.9,385,2020
Mendocino,CA,14.7,293,2020
Merced,CA,9.6,91,2020
Modoc,CA,12.2,196,2020
Mono,CA,21.5,451,2020
Monterey,CA,15.8,330,2020
Napa,CA,24.4,480,2020
Nevada,CA,24.7,482,2020
Orange,CA,26.4,491,2020
Placer,CA,26.8,494,2020
Plumas,CA,15.6,323,2020
Riverside,CA,14.9,300,2020
Sacramento,CA,20.5,435,2020
San Benito,CA,14.7,293,2020
San Bernardino,CA,13.9,263,2020
San Diego,CA,24.2,478,2020
San Francisco,CA,35,509,2020
San Joaquin,CA,13,229,2020
San Luis Obispo,CA,22.3,460,2020
San Mateo,CA,29.5,501,2020
Santa Barbara,CA,20.8,440,2020
Santa Clara,CA,27.9,497,2020
Santa Cruz,CA,24.4,480,2020
Shasta,CA,14.8,296,2020
Sierra,CA,8.8,68,2020
Siskiyou,CA,14.4,280,2020
Solano,CA,18.5,399,2020
Sonoma,CA,22.9,467,2020
Stanislaus,CA,12.4,204,2020
Sutter,CA,13.2,236,2020
Tehama,CA,12.6,214,2020
Trinity,CA,12.6,214,2020
Tulare,CA,9.8,99,2020
Tuolumne,CA,14.5,285,2020
Ventura,CA,21.6,452,2020
Yolo,CA,21.8,455,2020
Yuba,CA,12.7,217,2020
Adams,CO,17.3,372,2020
Alamosa,CO,14.2,273,2020
Arapahoe,CO,27.3,496,2020
Archuleta,CO,25.6,487,2020
Baca,CO,16.2,343,2020
Bent,CO,8.9,71,2020
Boulder,CO,34.6,509,2020
Broomfield,CO,34.9,509,2020
Chaffee,CO,21.3,449,2020
Cheyenne,CO,20.1,427,2020
Clear Creek,CO,28.3,498,2020
