county,state,averageOctoberTemperature,averageOctoberTemperatureBucket,year
Autauga,AL,62,407,2021
Baldwin,AL,66.4,471,2021
Barbour,AL,63.3,431,2021
Bibb,AL,61,389,2021
Blount,AL,59,353,2021
Bullock,AL,62.3,413,2021
Butler,AL,61.8,403,2021
Calhoun,AL,59.3,360,2021
Chambers,AL,59.4,361,2021
Cherokee,AL,58.7,349,2021
Chilton,AL,61.3,394,2021
Choctaw,AL,62.8,423,2021
Clarke,AL,63.2,429,2021
Clay,AL,58.8,351,2021
Cleburne,AL,58.2,338,2021
Coffee,AL,63.1,427,2021
Colbert,AL,58.8,351,2021
Conecuh,AL,62.6,419,2021
Coosa,AL,60.5,379,2021
Covington,AL,63.3,431,2021
Crenshaw,AL,61.9,405,2021
Cullman,AL,58.5,345,2021
Dale,AL,63.7,435,2021
Dallas,AL,62.4,415,2021
DeKalb,AL,57.4,322,2021
Elmore,AL,61.7,401,2021
Escambia,AL,63.8,436,2021
Etowah,AL,59.3,360,2021
Fayette,AL,60.2,375,2021
Franklin,AL,58.8,351,2021
Geneva,AL,63.8,436,2021
Greene,AL,61.4,397,2021
Hale,AL,61.7,401,2021
Henry,AL,64.1,440,2021
Houston,AL,64.6,448,2021
Jackson,AL,57.4,322,2021
Jefferson,AL,59.8,368,2021
Lamar,AL,60.8,385,2021
Lauderdale,AL,57.8,330,2021
Lawrence,AL,58.1,335,2021
Lee,AL,60.7,383,2021
Limestone,AL,57.8,330,2021
Lowndes,AL,62.2,411,2021
Macon,AL,61.8,403,2021
Madison,AL,58,334,2021
Marengo,AL,62.3,413,2021
Marion,AL,59.4,361,2021
Marshall,AL,58.7,349,2021
Mobile,AL,66.5,473,2021
Monroe,AL,63.1,427,2021
Montgomery,AL,62.1,409,2021
Morgan,AL,58.4,343,2021
Perry,AL,61.8,403,2021
Pickens,AL,61.1,391,2021
Pike,AL,62.6,419,2021
Randolph,AL,58.8,351,2021
Russell,AL,62.1,409,2021
St. Clair,AL,59.3,360,2021
Shelby,AL,60.3,376,2021
Sumter,AL,61.8,403,2021
Talladega,AL,59.8,368,2021
Tallapoosa,AL,59.8,368,2021
Tuscaloosa,AL,60.9,386,2021
Walker,AL,59.5,363,2021
Washington,AL,63.9,437,2021
Wilcox,AL,62.6,419,2021
Winston,AL,58.3,340,2021
Apache,AZ,51.6,156,2021
Cochise,AZ,59.8,368,2021
Coconino,AZ,54,230,2021
Gila,AZ,60.7,383,2021
Graham,AZ,60.3,376,2021
Greenlee,AZ,55.7,278,2021
La Paz,AZ,73.9,505,2021
Maricopa,AZ,72.5,504,2021
Mohave,AZ,65.1,455,2021
Navajo,AZ,53,201,2021
Pima,AZ,69,494,2021
Pinal,AZ,70.6,498,2021
Santa Cruz,AZ,60.4,377,2021
Yavapai,AZ,60.7,383,2021
Yuma,AZ,76,510,2021
Arkansas,AR,63.6,434,2021
Ashley,AR,63.8,436,2021
Baxter,AR,58.9,352,2021
Benton,AR,58.3,340,2021
Boone,AR,58.5,345,2021
Bradley,AR,63.1,427,2021
Calhoun,AR,62.6,419,2021
Carroll,AR,58.4,343,2021
Chicot,AR,64.2,442,2021
Clark,AR,63,425,2021
Clay,AR,59.3,360,2021
Cleburne,AR,60.9,386,2021
Cleveland,AR,62.7,421,2021
Columbia,AR,63.5,433,2021
Conway,AR,61.1,391,2021
Craighead,AR,60.2,375,2021
Crawford,AR,60.8,385,2021
Crittenden,AR,61.4,397,2021
Cross,AR,60.9,386,2021
Dallas,AR,62.6,419,2021
Desha,AR,63.7,435,2021
Drew,AR,63.6,434,2021
Faulkner,AR,61.7,401,2021
Franklin,AR,60.9,386,2021
Fulton,AR,58.7,349,2021
Garland,AR,63.1,427,2021
Grant,AR,63,425,2021
Greene,AR,59.8,368,2021
Hempstead,AR,63.4,432,2021
Hot Spring,AR,63.2,429,2021
Howard,AR,62.2,411,2021
Independence,AR,59.7,366,2021
Izard,AR,58.8,351,2021
Jackson,AR,60,372,2021
Jefferson,AR,63.2,429,2021
Johnson,AR,60.2,375,2021
Lafayette,AR,64.4,445,2021
Lawrence,AR,59.5,363,2021
Lee,AR,62.2,411,2021
Lincoln,AR,63.4,432,2021
Little River,AR,64.3,443,2021
Logan,AR,61.7,401,2021
Lonoke,AR,63.3,431,2021
Madison,AR,57.8,330,2021
Marion,AR,58.6,348,2021
Miller,AR,64.9,452,2021
Mississippi,AR,60.7,383,2021
Monroe,AR,62.9,424,2021
Montgomery,AR,61.9,405,2021
Nevada,AR,63.1,427,2021
Newton,AR,57.6,326,2021
Ouachita,AR,62.9,424,2021
Perry,AR,62.2,411,2021
Phillips,AR,63,425,2021
Pike,AR,62,407,2021
Poinsett,AR,60.6,381,2021
Polk,AR,60.8,385,2021
Pope,AR,60.2,375,2021
Prairie,AR,63.1,427,2021
Pulaski,AR,63.1,427,2021
Randolph,AR,59.4,361,2021
St. Francis,AR,61.6,400,2021
Saline,AR,62.9,424,2021
Scott,AR,61.4,397,2021
Searcy,AR,57.6,326,2021
Sebastian,AR,62.3,413,2021
Sevier,AR,63.2,429,2021
Sharp,AR,58.6,348,2021
Stone,AR,59.2,358,2021
Union,AR,63.2,429,2021
Van Buren,AR,59.3,360,2021
Washington,AR,58.2,338,2021
White,AR,61.7,401,2021
Woodruff,AR,61.2,393,2021
Yell,AR,62.2,411,2021
Alameda,CA,65,454,2021
Alpine,CA,50.2,117,2021
Amador,CA,65.5,459,2021
Butte,CA,66.9,477,2021
Calaveras,CA,65.8,462,2021
Colusa,CA,68.4,491,2021
Contra Costa,CA,66.3,470,2021
Del Norte,CA,60,372,2021
El Dorado,CA,61,389,2021
Fresno,CA,62,407,2021
Glenn,CA,67.8,486,2021
Humboldt,CA,60.6,381,2021
Imperial,CA,77.9,511,2021
Inyo,CA,65.5,459,2021
Kern,CA,68,488,2021
Kings,CA,69.7,495,2021
Lake,CA,64,438,2021
Lassen,CA,53.3,210,2021
Los Angeles,CA,67.4,483,2021
Madera,CA,62,407,2021
Marin,CA,59.7,366,2021
Mariposa,CA,61.4,397,2021
Mendocino,CA,60.9,386,2021
Merced,CA,67.8,486,2021
Modoc,CA,53.8,224,2021
Mono,CA,48.3,66,2021
Monterey,CA,63.8,436,2021
Napa,CA,65.1,455,2021
Nevada,CA,59.3,360,2021
Orange,CA,69.1,494,2021
Placer,CA,60.6,381,2021
Plumas,CA,53.8,224,2021
Riverside,CA,72.4,503,2021
Sacramento,CA,68,488,2021
San Benito,CA,65.5,459,2021
San Bernardino,CA,70.5,497,2021
San Diego,CA,67,478,2021
San Francisco,CA,60.1,373,2021
San Joaquin,CA,68,488,2021
San Luis Obispo,CA,65.2,456,2021
San Mateo,CA,60.4,377,2021
Santa Barbara,CA,62.7,421,2021
Santa Clara,CA,64.3,443,2021
Santa Cruz,CA,61.2,393,2021
Shasta,CA,62.8,423,2021
Sierra,CA,53.8,224,2021
Siskiyou,CA,57.5,323,2021
Solano,CA,66.6,474,2021
Sonoma,CA,62,407,2021
Stanislaus,CA,67,478,2021
Sutter,CA,68.5,491,2021
Tehama,CA,66.3,470,2021
Trinity,CA,59.8,368,2021
Tulare,CA,60.7,383,2021
Tuolumne,CA,56.3,294,2021
Ventura,CA,62.8,423,2021
Yolo,CA,67.4,483,2021
Yuba,CA,67.4,483,2021
Adams,CO,52.1,174,2021
Alamosa,CO,44.4,14,2021
Arapahoe,CO,51.5,154,2021
Archuleta,CO,45.8,25,2021
Baca,CO,56.2,291,2021
Bent,CO,55.4,271,2021
Boulder,CO,46.4,33,2021
Broomfield,CO,52.8,195,2021
Chaffee,CO,39.8,5,2021
Cheyenne,CO,54.6,248,2021
Clear Creek,CO,39.1,4,2021
Conejos,CO,42,7,2021
Costilla,CO,42.7,8,2021
Crowley,CO,53.7,221,2021
Custer,CO,42.7,8,2021
Delta,CO,47.4,48,2021
Denver,CO,53.1,204,2021
Dolores,CO,44.5,15,2021
Douglas,CO,48.7,78,2021
Eagle,CO,41,6,2021
