county,state,medianAge,medianAgeBucket,year
Autauga,AL,38.5,131,2021
Baldwin,AL,43.4,350,2021
Barbour,AL,40.2,199,2021
Bibb,AL,39.7,178,2021
Blount,AL,41.1,246,2021
Bullock,AL,38.7,138,2021
Butler,AL,41.2,250,2021
Calhoun,AL,39.7,178,2021
Chambers,AL,42.0,290,2021
Cherokee,AL,46.7,438,2021
Chilton,AL,39.8,181,2021
Choctaw,AL,46.5,434,2021
Clarke,AL,42.6,319,2021
Clay,AL,43.3,345,2021
Cleburne,AL,41.9,285,2021
Coffee,AL,39.1,152,2021
Colbert,AL,42.1,296,2021
Conecuh,AL,45.4,411,2021
Coosa,AL,49.8,479,2021
Covington,AL,42.9,329,2021
Crenshaw,AL,42.1,296,2021
Cullman,AL,41.2,250,2021
Dale,AL,37.9,113,2021
Dallas,AL,39.7,178,2021
DeKalb,AL,39.7,178,2021
Elmore,AL,39.0,149,2021
Escambia,AL,39.9,186,2021
Etowah,AL,41.5,265,2021
Fayette,AL,43.6,359,2021
Franklin,AL,39.0,149,2021
Geneva,AL,43.3,345,2021
Greene,AL,44.0,370,2021
Hale,AL,41.0,243,2021
Henry,AL,44.6,391,2021
Houston,AL,40.4,210,2021
Jackson,AL,43.2,341,2021
Jefferson,AL,37.9,113,2021
Lamar,AL,44.6,391,2021
Lauderdale,AL,40.7,228,2021
Lawrence,AL,42.8,326,2021
Lee,AL,33.0,27,2021
Limestone,AL,40.2,199,2021
Lowndes,AL,42.5,314,2021
Macon,AL,39.3,163,2021
Madison,AL,38.6,134,2021
Marengo,AL,41.7,276,2021
Marion,AL,44.4,385,2021
Marshall,AL,39.0,149,2021
Mobile,AL,38.3,124,2021
Monroe,AL,43.6,359,2021
Montgomery,AL,36.8,85,2021
Morgan,AL,40.6,223,2021
Perry,AL,38.8,141,2021
Pickens,AL,43.0,333,2021
Pike,AL,31.9,18,2021
Randolph,AL,44.1,374,2021
Russell,AL,37.1,92,2021
St. Clair,AL,40.5,215,2021
Shelby,AL,39.7,178,2021
Sumter,AL,35.8,60,2021
Talladega,AL,41.7,276,2021
Tallapoosa,AL,45.1,404,2021
Tuscaloosa,AL,33.6,32,2021
Walker,AL,41.7,276,2021
Washington,AL,43.9,368,2021
Wilcox,AL,40.8,234,2021
Winston,AL,45.4,411,2021
Aleutians East,AK,43.2,341,2021
Aleutians West,AK,39.4,167,2021
Anchorage,AK,34.3,39,2021
Bethel,AK,28.6,6,2021
Bristol Bay,AK,39.9,186,2021
Chugach,AK,38.1,118,2021
Copper River,AK,42.8,326,2021
Denali,AK,45.3,409,2021
Dillingham,AK,30.4,10,2021
Fairbanks North Star,AK,31.9,18,2021
Haines,AK,41.8,280,2021
Hoonah-Angoon,AK,50.7,486,2021
Juneau City,AK,38.6,134,2021
Kenai Peninsula,AK,41.4,259,2021
Ketchikan Gateway,AK,40.3,204,2021
Kodiak,AK,35.2,50,2021
Kusilvak,AK,24.0,0,2021
Lake and Peninsula,AK,33.2,29,2021
Matanuska-Susitna,AK,35.9,63,2021
Nome,AK,29.0,7,2021
North Slope,AK,33.5,31,2021
Northwest Arctic,AK,28.7,6,2021
Petersburg,AK,49.0,471,2021
Prince of Wales-Hyder,AK,43.0,333,2021
Sitka City,AK,39.2,158,2021
Skagway,AK,40.5,215,2021
Southeast Fairbanks,AK,36.6,79,2021
Wrangell City,AK,45.1,404,2021
Yakutat City,AK,37.2,95,2021
Yukon-Koyukuk,AK,35.6,56,2021
Apache,AZ,35.5,54,2021
Cochise,AZ,41.2,250,2021
Coconino,AZ,31.5,15,2021
Gila,AZ,50.3,482,2021
Graham,AZ,33.8,34,2021
Greenlee,AZ,35.9,63,2021
La Paz,AZ,57.1,509,2021
Maricopa,AZ,36.9,87,2021
Mohave,AZ,52.3,495,2021
Navajo,AZ,38.3,124,2021
Pima,AZ,38.9,144,2021
Pinal,AZ,39.8,181,2021
Santa Cruz,AZ,37.2,95,2021
Yavapai,AZ,54.2,501,2021
Yuma,AZ,34.8,44,2021
