county,state,medianHomeValue,medianHomeValueBucket,year
Autauga,AL,164900,329,2021
Baldwin,AL,226600,421,2021
Barbour,AL,89500,69,2021
Bibb,AL,102900,118,2021
Blount,AL,138100,253,2021
Bullock,AL,72600,17,2021
Butler,AL,93500,81,2021
Calhoun,AL,123200,202,2021
Chambers,AL,107000,136,2021
Cherokee,AL,141000,259,2021
Chilton,AL,117300,179,2021
Choctaw,AL,79800,33,2021
Clarke,AL,113700,162,2021
Clay,AL,122400,199,2021
Cleburne,AL,116500,175,2021
Coffee,AL,157700,308,2021
Colbert,AL,129700,224,2021
Conecuh,AL,82800,42,2021
Coosa,AL,95900,90,2021
Covington,AL,111900,155,2021
Crenshaw,AL,85800,53,2021
Cullman,AL,143700,266,2021
Dale,AL,112900,160,2021
Dallas,AL,85400,52,2021
DeKalb,AL,115100,170,2021
Elmore,AL,174800,354,2021
Escambia,AL,108200,141,2021
Etowah,AL,129600,224,2021
Fayette,AL,98400,99,2021
Franklin,AL,107200,136,2021
Geneva,AL,115300,170,2021
Greene,AL,80300,35,2021
Hale,AL,89700,70,2021
Henry,AL,122800,201,2021
Houston,AL,146300,273,2021
Jackson,AL,114200,165,2021
Jefferson,AL,176900,359,2021
Lamar,AL,102100,113,2021
Lauderdale,AL,154800,299,2021
Lawrence,AL,124300,206,2021
Lee,AL,186600,374,2021
Limestone,AL,185300,372,2021
Lowndes,AL,77700,27,2021
Macon,AL,84300,47,2021
Madison,AL,202500,393,2021
Marengo,AL,89500,69,2021
Marion,AL,89100,67,2021
Marshall,AL,147600,278,2021
Mobile,AL,144100,268,2021
Monroe,AL,103700,121,2021
Montgomery,AL,134700,242,2021
Morgan,AL,152400,290,2021
Perry,AL,74400,19,2021
Pickens,AL,105100,127,2021
Pike,AL,130900,228,2021
Randolph,AL,124200,206,2021
Russell,AL,130400,227,2021
St. Clair,AL,170900,344,2021
Shelby,AL,235500,430,2021
Sumter,AL,69800,13,2021
Talladega,AL,114800,168,2021
Tallapoosa,AL,111900,155,2021
Tuscaloosa,AL,183800,370,2021
Walker,AL,116200,174,2021
Washington,AL,111600,154,2021
Wilcox,AL,72800,17,2021
Winston,AL,105000,127,2021
Aleutians East,AK,144100,268,2021
Aleutians West,AK,325500,478,2021
Anchorage,AK,327500,479,2021
Bethel,AK,102300,115,2021
Bristol Bay,AK,234000,429,2021
Chugach,AK,255100,446,2021
Copper River,AK,232200,428,2021
Denali,AK,203600,395,2021
Dillingham,AK,155900,302,2021
Fairbanks North Star,AK,245700,440,2021
Haines,AK,256300,447,2021
Hoonah-Angoon,AK,224800,419,2021
Juneau City,AK,358200,488,2021
Kenai Peninsula,AK,249100,442,2021
Ketchikan Gateway,AK,315200,476,2021
Kodiak,AK,311100,475,2021
Kusilvak,AK,66200,9,2021
Lake and Peninsula,AK,116400,175,2021
Matanuska-Susitna,AK,265200,453,2021
Nome,AK,151900,289,2021
North Slope,AK,173500,351,2021
Northwest Arctic,AK,130700,228,2021
Petersburg,AK,246900,440,2021
Prince of Wales-Hyder,AK,192500,383,2021
Sitka City,AK,367800,490,2021
Skagway,AK,406500,495,2021
Southeast Fairbanks,AK,192300,382,2021
Wrangell City,AK,230800,425,2021
Yakutat City,AK,168100,336,2021
Yukon-Koyukuk,AK,77400,26,2021
Apache,AZ,57300,2,2021
Cochise,AZ,159500,312,2021
Coconino,AZ,320400,477,2021
Gila,AZ,190700,380,2021
Graham,AZ,150400,285,2021
Greenlee,AZ,92600,78,2021
La Paz,AZ,104300,124,2021
Maricopa,AZ,304700,472,2021
Mohave,AZ,192300,382,2021
Navajo,AZ,145700,272,2021
Pima,AZ,217700,412,2021
Pinal,AZ,218400,413,2021
Santa Cruz,AZ,165500,331,2021
Yavapai,AZ,295400,468,2021
Yuma,AZ,148900,280,2021
Arkansas,AR,114200,165,2021
Ashley,AR,78100,28,2021
Baxter,AR,138500,254,2021
Benton,AR,211100,403,2021
Boone,AR,133500,237,2021
Bradley,AR,78600,29,2021
Calhoun,AR,75900,22,2021
Carroll,AR,154400,298,2021
Chicot,AR,70900,14,2021
Clark,AR,120600,193,2021
Clay,AR,75800,21,2021
Cleburne,AR,139200,255,2021
Cleveland,AR,96200,92,2021
Columbia,AR,106300,131,2021
Conway,AR,116800,177,2021
Craighead,AR,157100,306,2021
Crawford,AR,131600,231,2021
Crittenden,AR,131400,230,2021
Cross,AR,85300,51,2021
Dallas,AR,78100,28,2021
Desha,AR,84800,49,2021
Drew,AR,103900,122,2021
Faulkner,AR,171800,346,2021
Franklin,AR,99900,105,2021
Fulton,AR,88100,62,2021
Garland,AR,145900,272,2021
Grant,AR,124900,210,2021
Greene,AR,136700,248,2021
Hempstead,AR,93000,79,2021
Hot Spring,AR,102300,115,2021
Howard,AR,107600,137,2021
Independence,AR,100100,106,2021
Izard,AR,87900,62,2021
Jackson,AR,75300,20,2021
Jefferson,AR,90500,71,2021
Johnson,AR,108300,141,2021
Lafayette,AR,60800,4,2021
Lawrence,AR,75900,22,2021
Lee,AR,75300,20,2021
Lincoln,AR,91800,75,2021
Little River,AR,86700,57,2021
Logan,AR,106400,132,2021
Lonoke,AR,153600,295,2021
Madison,AR,121500,196,2021
Marion,AR,139200,255,2021
Miller,AR,114100,164,2021
Mississippi,AR,96200,92,2021
Monroe,AR,74600,19,2021
Montgomery,AR,116800,177,2021
Nevada,AR,71100,14,2021
Newton,AR,147200,276,2021
Ouachita,AR,78800,29,2021
Perry,AR,117600,181,2021
Phillips,AR,73400,18,2021
Pike,AR,86900,58,2021
Poinsett,AR,82000,39,2021
Polk,AR,108100,140,2021
Pope,AR,132400,233,2021
Prairie,AR,80200,34,2021
Pulaski,AR,166300,332,2021
Randolph,AR,96500,93,2021
St. Francis,AR,68100,11,2021
Saline,AR,168100,336,2021
Scott,AR,82200,39,2021
Searcy,AR,101500,110,2021
Sebastian,AR,136600,248,2021
Sevier,AR,94200,85,2021
Sharp,AR,77000,25,2021
Stone,AR,121600,196,2021
Union,AR,89200,67,2021
Van Buren,AR,106600,134,2021
Washington,AR,201800,392,2021
White,AR,129600,224,2021
Woodruff,AR,76800,24,2021
Yell,AR,112100,155,2021
Alameda,CA,870100,510,2021
Alpine,CA,378200,491,2021
Amador,CA,349500,485,2021
Butte,CA,325600,478,2021
Calaveras,CA,354600,487,2021
Colusa,CA,300500,470,2021
Contra Costa,CA,689000,509,2021
Del Norte,CA,237700,432,2021
El Dorado,CA,510200,503,2021
Fresno,CA,288100,465,2021
Glenn,CA,262600,451,2021
Humboldt,CA,344800,485,2021
Imperial,CA,219800,414,2021
Inyo,CA,291400,466,2021
Kern,CA,241400,435,2021
Kings,CA,243300,438,2021
Lake,CA,260600,449,2021
Lassen,CA,211300,403,2021
Los Angeles,CA,647000,508,2021
Madera,CA,284800,464,2021
Marin,CA,1118300,511,2021
Mariposa,CA,302600,471,2021
Mendocino,CA,417100,497,2021
Merced,CA,288400,465,2021
Modoc,CA,152400,290,2021
Mono,CA,390100,494,2021
Monterey,CA,596400,506,2021
Napa,CA,685500,508,2021
Nevada,CA,474100,501,2021
Orange,CA,738100,509,2021
Placer,CA,539400,504,2021
Plumas,CA,268900,456,2021
Riverside,CA,390400,494,2021
Sacramento,CA,398300,495,2021
San Benito,CA,623000,506,2021
San Bernardino,CA,370700,490,2021
San Diego,CA,627200,507,2021
San Francisco,CA,1194500,511,2021
San Joaquin,CA,391500,494,2021
San Luis Obispo,CA,630600,507,2021
San Mateo,CA,1225900,511,2021
Santa Barbara,CA,625200,507,2021
Santa Clara,CA,1134400,511,2021
Santa Cruz,CA,826500,510,2021
Shasta,CA,281600,462,2021
Sierra,CA,231400,427,2021
Siskiyou,CA,229600,425,2021
Solano,CA,464000,501,2021
Sonoma,CA,665800,508,2021
Stanislaus,CA,338300,483,2021
Sutter,CA,326300,479,2021
Tehama,CA,243600,438,2021
Trinity,CA,300800,470,2021
Tulare,CA,240600,435,2021
Tuolumne,CA,333500,482,2021
Ventura,CA,633900,507,2021
Yolo,CA,476000,502,2021
Yuba,CA,286000,465,2021
Adams,CO,360600,488,2021
Alamosa,CO,160400,316,2021
Arapahoe,CO,415500,496,2021
Archuleta,CO,356400,488,2021
Baca,CO,117900,182,2021
Bent,CO,88900,66,2021
Boulder,CO,575700,505,2021
Broomfield,CO,482100,502,2021
Chaffee,CO,416100,497,2021
Cheyenne,CO,157500,307,2021
Clear Creek,CO,471400,501,2021
Conejos,CO,129600,224,2021
Costilla,CO,123000,202,2021
Crowley,CO,71200,14,2021
Custer,CO,262700,451,2021
Delta,CO,268400,455,2021
Denver,CO,459100,500,2021
Dolores,CO,181400,365,2021
Douglas,CO,540400,504,2021
Eagle,CO,640400,508,2021
Elbert,CO,538800,504,2021
El Paso,CO,331400,481,2021
Fremont,CO,217500,411,2021
Garfield,CO,383600,492,2021
Gilpin,CO,411500,496,2021
Grand,CO,374800,491,2021
Gunnison,CO,435800,498,2021
Hinsdale,CO,338600,483,2021
Huerfano,CO,193200,383,2021
Jackson,CO,239100,434,2021
Jefferson,CO,463400,501,2021
Kiowa,CO,105500,129,2021
Kit Carson,CO,161100,319,2021
Lake,CO,262800,451,2021
La Plata,CO,430200,497,2021
Larimer,CO,420200,497,2021
Las Animas,CO,168100,336,2021
Lincoln,CO,163900,326,2021
Logan,CO,177100,359,2021
Mesa,CO,264100,452,2021
Mineral,CO,354400,487,2021
Moffat,CO,201700,392,2021
Montezuma,CO,243500,438,2021
Montrose,CO,264900,453,2021
Morgan,CO,239800,434,2021
Otero,CO,107500,137,2021
Ouray,CO,528000,503,2021
Park,CO,395800,495,2021
Phillips,CO,213400,407,2021
Pitkin,CO,730300,509,2021
Prowers,CO,108400,141,2021
Pueblo,CO,190000,377,2021
Rio Blanco,CO,220100,414,2021
Rio Grande,CO,180600,364,2021
Routt,CO,570600,505,2021
Saguache,CO,161000,318,2021
San Juan,CO,330000,481,2021
San Miguel,CO,479500,502,2021
Sedgwick,CO,116700,176,2021
Summit,CO,641900,508,2021
Teller,CO,328900,480,2021
Washington,CO,173000,350,2021
Weld,CO,352000,486,2021
Yuma,CO,184400,370,2021
Fairfield,CT,443100,499,2021
Hartford,CT,249000,442,2021
Litchfield,CT,270000,456,2021
Middlesex,CT,298300,469,2021
New Haven,CT,259400,449,2021
New London,CT,257600,448,2021
Tolland,CT,264500,453,2021
Windham,CT,217300,411,2021
Kent,DE,238700,433,2021
New Castle,DE,275600,459,2021
Sussex,DE,285100,464,2021
District of,,635900,507,2021
Alachua,FL,210800,403,2021
Baker,FL,172300,348,2021
Bay,FL,209900,401,2021
Bradford,FL,127400,217,2021
Brevard,FL,235500,430,2021
Broward,FL,299700,469,2021
Calhoun,FL,103100,118,2021
Charlotte,FL,226700,421,2021
Citrus,FL,158800,310,2021
Clay,FL,212200,405,2021
Collier,FL,374700,491,2021
Columbia,FL,151400,288,2021
DeSoto,FL,112600,158,2021
Dixie,FL,84600,49,2021
Duval,FL,211200,403,2021
Escambia,FL,171900,347,2021
Flagler,FL,247000,441,2021
Franklin,FL,198500,389,2021
Gadsden,FL,105600,129,2021
Gilchrist,FL,137900,251,2021
Glades,FL,79000,31,2021
Gulf,FL,190700,380,2021
Hamilton,FL,87000,58,2021
Hardee,FL,101100,109,2021
Hendry,FL,116900,177,2021
Hernando,FL,173700,352,2021
Highlands,FL,131900,232,2021
Hillsborough,FL,251200,444,2021
Holmes,FL,85000,50,2021
Indian River,FL,242100,437,2021
Jackson,FL,104800,125,2021
Jefferson,FL,153400,294,2021
Lafayette,FL,102400,115,2021
